,鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
533,北區,房地(土地+建物),臺南市北區中華北路一段１０５巷５３號,131.52,住,nan,nan,1080425,土地1建物1車位0,全,三層,透天厝,住家用,見其他登記事項,920625.0,237.21,6,3,6,有,無,7000000,29510.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；土地增值稅、契稅、登記規費、代書費及其他相關稅費皆由買方全部負擔,RPTNMLNKOHOFFAD28CA,222.87,0.0,14.34,nan,nan
534,北區,房地(土地+建物),臺南市北區北成路９５號,72.0,住,nan,nan,1080509,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,731002.0,111.48,4,2,3,有,無,3616100,32437.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPXNMLSKOHOFFAD56CA,107.96,0.0,3.52,nan,nan
535,北區,房地(土地+建物)+車位,臺南市北區北成路８０巷２２弄１６號六樓,33.54,住,nan,nan,1080501,土地1建物1車位1,六層，夾層,九層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,840913.0,134.84,3,2,2,有,有,3500000,25959.0,坡道平面,0.0,0,有民情風俗因素之交易。；,RPQPMLRLOHOFFAD68CA,84.74,0.0,8.76,nan,nan
536,中西區,土地,永安段2169-7地號,17.82,其他,nan,nan,1080528,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,253000,14198.0,nan,0.0,0,包含公共設施保留地之交易。；,RPSOMLOKOHOFFAD38CA,0.0,0.0,0.0,nan,nan
537,安南區,土地,海南段563地號,273.9,農,nan,nan,1080531,土地2建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,1242750,4537.0,nan,0.0,0,畸零地或有合併使用之交易。；,RPOOMLNKOHOFFBD97CA,0.0,0.0,0.0,nan,nan
538,安南區,土地,南興段137-2地號,69.52,其他,nan,nan,1080528,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,242622,3490.0,nan,0.0,0,包含公共設施保留地之交易。；,RPWNMLOKOHOFFBD78CA,0.0,0.0,0.0,nan,nan
539,安南區,土地,頂安段17-9地號,4.85,住,nan,nan,1080422,土地4建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,338712,69838.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPTNMLOKOHOFFBD48CA,0.0,0.0,0.0,nan,nan
540,東區,房地(土地+建物),臺南市東區東和路34號,27.13,住,nan,nan,1080529,土地1建物1車位0,一層，二層，騎樓，地下層,七層,華廈(10層含以下有電梯),住商用,鋼筋混凝土構造,800409.0,176.89,2,2,2,有,有,7720000,43643.0,nan,0.0,0,nan,RPTNMLTJPHOFFCD09CA,159.38,0.0,1.61,nan,nan
541,白河區,房地(土地+建物),臺南市白河區秀?里７鄰豐慶街７１巷２號,111.07,住,nan,nan,1080425,土地3建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,1061114.0,143.26,4,3,3,有,無,6500000,45372.0,nan,0.0,0,包含公共設施保留地之交易。；,RPQNMLOKOHOFFED48CA,124.83,0.0,18.43,nan,nan
542,麻豆區,土地,國中段62地號,466.25,住,nan,nan,1080427,土地2建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,21861200,46887.0,nan,0.0,0,畸零地或有合併使用之交易。；,RPUNMLOKOHOFFFD98CA,0.0,0.0,0.0,nan,nan
