,編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
2433,RPUNMLMLQHOFFCD78CA,公英段,0.01,都市：其他:道路用地,1248,1,持分移轉,3380001
2434,RPUNMLMLQHOFFCD78CA,公英段,0.58,都市：其他:道路用地,1248,1,持分移轉,3380002
2435,RPUNMLMLQHOFFCD78CA,公英段,4.54,都市：住,96,1,持分移轉,3410000
2436,RPWNMLTLPHOFFDD07CA,舊營段後寮小段,340.0,非都市：特定農業區 ; 非都市編定：農牧用地,8,2,持分移轉,5990000
2437,RPWNMLTLPHOFFDD07CA,舊營段後寮小段,224.0,非都市：特定農業區 ; 非都市編定：農牧用地,8,1,持分移轉,6000000
2438,RPXNMLTLPHOFFDD17CA,舊營段後寮小段,224.0,非都市：特定農業區 ; 非都市編定：農牧用地,8,1,持分移轉,6000000
2439,RPUNMLLMPHOFFID66CA,媽祖廟段二小段,526.0,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,11220000
2440,RPSNMLLJQHOFFID88CA,仁義段,9.28,都市：住,100000,683,持分移轉,1140000
2441,RPPNMLMLQHOFFID88CA,德南段,0.1,都市：住,1000,17,持分移轉,4950000
2442,RPPNMLMLQHOFFID88CA,德南段,1.56,都市：住,12,1,持分移轉,4960000
2443,RPPNMLMLQHOFFID88CA,德南段,5.58,都市：住,12,1,持分移轉,4970000
2444,RPPNMLMLQHOFFID88CA,德南段,1.27,都市：住,12,1,持分移轉,5010000
2445,RPPNMLMLQHOFFID88CA,德南段,2.94,都市：住,12,1,持分移轉,5020000
2446,RPPNMLMLQHOFFID88CA,德南段,17.63,都市：住,12,1,持分移轉,5030000
2447,RPPNMLMLQHOFFID88CA,德南段,3.94,都市：住,12,1,持分移轉,5170000
2448,RPWNMLLJQHOFFHD56CA,看西段,1755.0,都市：其他:公共設施保留地-體育場用地,1,1,全筆移轉,110000
2449,RPTOMLQLPHOFFHD96CA,六塊寮段,589.0,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,35130000
2450,RPXNMLPKQHOFFHD17CA,營新段,54.04,都市：其他:產業服務專用,2960000,26980,持分移轉,70002
2451,RPRNMLMLQHOFFHD98CA,大榮段,9.01,都市：住,1,1,全筆移轉,4590000
2452,RPQOMLQJQHOFFHD66DA,永安段,283.19,都市：其他:停車場用地,10,3,持分移轉,410000
2453,RPVOMLLJQHOFFHD66DA,胡厝段,8.0,非都市：鄉村區 ; 非都市編定：乙種建築用地,126,4,持分移轉,10380000
2454,RPOOMLKMPHOFFID78DA,太新段,10.13,都市：工,1,1,全筆移轉,4150015
2455,RPSNMLTLPHOFFDD76DA,孫厝寮段孫厝寮小段,809.0,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,6540000
2456,RPVNMLQLQHOFFGD17DA,忠昌段,113.93,都市：住,1,1,全筆移轉,5300000
2457,RPRNMLRJQHOFFKD07DA,永信段,25.2,都市：住,10000,47,持分移轉,2970000
2458,RPXOMLKMPHOFFBD09EA,和農段,112.74,都市：農,1,1,全筆移轉,8280000
2459,RPVNMLLMPHOFFBD78DA,本淵段,5.0,都市：住,1,1,全筆移轉,4110004
2460,RPTOMLSJQHOFFKD37CA,鹽中段,3.28,都市：住,4,1,持分移轉,2940005
2461,RPUOMLSJQHOFFKD47CA,鹽中段,3.28,都市：住,4,1,持分移轉,2940005
2462,RPQRMLLMPHOFFKD86CA,南工段,33.47,都市：住,10000,760,持分移轉,1940000
2463,RPPNMLMJQHOFFKD88CA,大灣段,129.0,都市：住,257,129,持分移轉,75410000
2464,RPSOMLTLPHOFFKD47CA,永信段,114.31,都市：其他:道路用地,1,1,全筆移轉,1670000
2465,RPPPMLKMPHOFFKD09CA,永華段,50.69,都市：其他:道路用地,270,24,持分移轉,11420000
2466,RPPPMLKMPHOFFKD09CA,永華段,46.78,都市：其他:道路用地,270,24,持分移轉,10870000
2467,RPPPMLKMPHOFFKD09CA,永華段,20.58,都市：其他:道路用地,270,24,持分移轉,11430000
2468,RPPPMLKMPHOFFKD09CA,永華段,1.88,都市：其他:道路用地,270,24,持分移轉,11440000
2469,RPPPMLKMPHOFFKD09CA,永華段,42.61,都市：其他:道路用地,270,24,持分移轉,12630000
2470,RPQPMLKMPHOFFKD56CA,南灣段,161.01,都市：其他:道路用地,1,1,全筆移轉,4980000
2471,RPPNMLMKQHOFFJD88CA,芒子芒段,884.25,非都市：一般農業區 ; 非都市編定：農牧用地,4,1,持分移轉,2050001
2472,RPRRMLKMPHOFFCD68CA,鹽埕段,11.66,都市：住,10000,161,持分移轉,730003
2473,RPSRMLKMPHOFFCD78CA,鹽埕段,21.94,都市：住,10000,303,持分移轉,730003
2474,RPTRMLKMPHOFFCD88CA,鹽埕段,22.01,都市：住,10000,304,持分移轉,730003
2475,RPVQMLKMPHOFFCD98CA,鹽埕段,34.32,都市：住,10000,474,持分移轉,730003
2476,RPWQMLKMPHOFFCD09CA,鹽埕段,22.01,都市：住,10000,304,持分移轉,730003
2477,RPOPMLSJQHOFFCD78CA,虎尾寮段,0.61,都市：其他:道路地,36,1,持分移轉,3560018
2478,RPOPMLSJQHOFFCD78CA,虎尾寮段,1.18,都市：其他:道路地,135,1,持分移轉,3610001
2479,RPOPMLSJQHOFFCD78CA,虎尾寮段,2.13,都市：其他:道路地,30,2,持分移轉,3670047
2480,RPOPMLSJQHOFFCD78CA,虎尾寮段,3.07,都市：其他:道路地,30,2,持分移轉,3670074
2481,RPOPMLSJQHOFFCD78CA,虎尾寮段,3.47,都市：其他:道路地,30,2,持分移轉,3670075
2482,RPPPMLSJQHOFFCD88CA,虎尾寮段,0.15,都市：其他:道路地,150,1,持分移轉,3560018
2483,RPPPMLSJQHOFFCD88CA,虎尾寮段,2.16,都市：其他:道路地,50,1,持分移轉,3600001
2484,RPPPMLSJQHOFFCD88CA,虎尾寮段,0.92,都市：其他:部分道路部分住宅區,50,1,持分移轉,3670001
2485,RPPPMLSJQHOFFCD88CA,虎尾寮段,0.64,都市：其他:道路地,50,1,持分移轉,3670047
2486,RPPPMLSJQHOFFCD88CA,虎尾寮段,0.58,都市：其他:部分道路部分住宅區,50,1,持分移轉,3670048
2487,RPPPMLSJQHOFFCD88CA,虎尾寮段,0.92,都市：其他:道路地,50,1,持分移轉,3670074
2488,RPPPMLSJQHOFFCD88CA,虎尾寮段,1.04,都市：其他:道路地,50,1,持分移轉,3670075
2489,RPPPMLSJQHOFFCD88CA,富農段,0.53,都市：其他:道路地,20,1,持分移轉,3240000
2490,RPPPMLSJQHOFFCD88CA,富農段,1.4,都市：其他:道路地,20,1,持分移轉,4440000
2491,RPPPMLSJQHOFFCD88CA,富農段,1.73,都市：其他:道路地,20,1,持分移轉,4470000
2492,RPPPMLSJQHOFFCD88CA,富農段,1.82,都市：其他:道路地,20,1,持分移轉,4680000
2493,RPPPMLSJQHOFFCD88CA,富農段,0.75,都市：其他:道路地,20,1,持分移轉,5530000
2494,RPUNMLLMPHOFFFD98CA,水漆林段,1252.0,非都市：特定農業區 ; 非都市編定：農牧用地,3,2,持分移轉,18780000
2495,RPPNMLMJQHOFFED28CA,土溝段,1000.0,非都市：特定農業區 ; 非都市編定：農牧用地,2281,1000,持分移轉,20200000
2496,RPOOMLLJQHOFFGD38CA,北文段,172.27,都市：住,1,1,全筆移轉,940000
2497,RPOOMLLJQHOFFGD38CA,北文段,219.32,都市：住,1,1,全筆移轉,950000
2498,RPOOMLLJQHOFFGD38CA,北文段,11.99,都市：住,1,1,全筆移轉,960000
2499,RPSNMLPKQHOFFGD56CA,將軍段,116.01,非都市：鄉村區 ; 非都市編定：乙種建築用地,1648,484,持分移轉,33680000
2500,RPVOMLMJQHOFFGD56CA,渡子頭段,165.0,非都市：河川區 ; 非都市編定：水利用地,1,1,全筆移轉,4900023
2501,RPVOMLMJQHOFFGD56CA,渡子頭段,13.0,非都市：河川區 ; 非都市編定：水利用地,1,1,全筆移轉,4900031
2502,RPSOMLTLPHOFFGD07CA,口寮段,54.67,非都市：鄉村區 ; 非都市編定：乙種建築用地,3,2,持分移轉,2140000
2503,RPPPMLLMPHOFFAD18CA,金華段,10.69,都市：商,8000000,27213,持分移轉,640000
2504,RPUOMLSJQHOFFBD56CA,十二佃段,1879.71,都市：工,1,1,全筆移轉,390000
2505,RPSNMLTLPHOFFBD09CA,安中段,114.6,都市：其他:學校預定地,48,2,持分移轉,5900000
2506,RPSNMLTLPHOFFBD09CA,安中段,36.22,都市：其他:學校預定地,9,1,持分移轉,5910000
2507,RPPNMLKMPHOFFBD97CA,州北段,22.67,都市：其他:道路用地,3,2,持分移轉,9420001
2508,RPPNMLKMPHOFFBD97CA,州北段,16.1,都市：其他:道路用地,21,2,持分移轉,9430000
2509,RPPNMLKMPHOFFBD97CA,頂安段,4.23,都市：其他:道路用地,10000,2235,持分移轉,80003
2510,RPPNMLKMPHOFFBD97CA,頂安段,25.33,都市：其他:道路用地,10000,2235,持分移轉,170005
2511,RPRNMLKMPHOFFBD18CA,頂安段,222.4,都市：其他:道路用地,1,1,全筆移轉,200002
2512,RPRNMLKMPHOFFBD18CA,頂安段,42.19,都市：其他:道路用地,1,1,全筆移轉,200004
2513,RPSNMLKMPHOFFBD28CA,怡中段,0.41,都市：其他:道路用地,2,1,持分移轉,7350000
2514,RPSNMLKMPHOFFBD28CA,怡中段,6.1,都市：其他:道路用地,2,1,持分移轉,7360000
2515,RPSNMLKMPHOFFBD28CA,怡中段,0.29,都市：其他:道路用地,10000,51,持分移轉,7390000
2516,RPSNMLKMPHOFFBD28CA,怡中段,3.1,都市：其他:道路用地,2,1,持分移轉,7410001
2517,RPQOMLLLQHOFFBD28CA,農場段,19.64,都市：農,252,1,持分移轉,1970000
2518,RPQOMLLLQHOFFBD28CA,公塭段,1.38,都市：住,252,1,持分移轉,11440001
2519,RPQOMLLLQHOFFBD28CA,公塭段,0.47,都市：其他:道路用地,252,1,持分移轉,11440002
2520,RPQOMLLLQHOFFBD28CA,公塭段,0.04,都市：其他:道路用地(重劃),252,1,持分移轉,11460011
2521,RPQNMLMLQHOFFBD28CA,淵南段,9.81,都市：住,200000,2347,持分移轉,350000
2522,RPQNMLMLQHOFFBD28CA,淵南段,28.8,都市：住,2,1,持分移轉,350071
2523,RPPNMLMJQHOFFBD97CA,學南段,272.8,都市：其他:部份工8乙種工業區，部份公園道用地，部份道路用地,100,12,持分移轉,4670000
2524,RPXNMLQJQHOFFAD09CA,成光段,480.56,都市：其他:道路用地,1,1,全筆移轉,1710000
2525,RPSOMLQKQHOFFGD76CA,?營段,12.71,非都市：鄉村區 ; 非都市編定：乙種建築用地,24,3,持分移轉,4460001
2526,RPSOMLQKQHOFFGD76CA,?營段,258.39,非都市：鄉村區 ; 非都市編定：乙種建築用地,100,41,持分移轉,4460002
2527,RPTNMLNKQHOFFGD09CA,九龍段,23.64,都市：住,16,1,持分移轉,9800000
2528,RPTNMLNKQHOFFGD09CA,九龍段,22.47,都市：住,16,1,持分移轉,9810000
2529,RPTNMLNKQHOFFGD09CA,九龍段,37.0,都市：住,16,1,持分移轉,9820000
2530,RPTNMLNKQHOFFGD09CA,九龍段,28.52,都市：住,16,1,持分移轉,9830000
2531,RPXNMLRJQHOFFGD17CA,鎮安段,459.28,非都市：鄉村區 ; 非都市編定：乙種建築用地,8,4,持分移轉,11320000
2532,RPOOMLLJQHOFFFD28CA,七甲段,159.0,都市：住,1,1,全筆移轉,4340000
2533,RPQNMLPJQHOFFCD48CA,富強段,123.69,都市：住,10000,747,持分移轉,700000
2534,RPUOMLMJQHOFFCD68CA,大山段,21.44,都市：住,10000,28,持分移轉,3880000
2535,RPPOMLLMPHOFFCD28CA,東安段,44.0,都市：住,3,2,持分移轉,5870000
2536,RPSQMLKMPHOFFCD68CA,富強段,16.47,都市：住,100000,892,持分移轉,10090000
2537,RPWNMLRLQHOFFDD96CA,太子宮段太子宮小段,1377.0,都市：農,1,1,全筆移轉,8640000
2538,RPRNMLPLQHOFFID76CA,歸仁北段,127.0,都市：住,1,1,全筆移轉,10910015
2539,RPXNMLPJQHOFFHD07CA,善駕段,9.86,都市：住,1,1,全筆移轉,1030000
2540,RPXNMLPJQHOFFHD07CA,善駕段,3.12,都市：住,1,1,全筆移轉,990000
2541,RPXNMLPJQHOFFHD07CA,善駕段,3.21,都市：住,1,1,全筆移轉,1000000
2542,RPVNMLTKQHOFFHD37CA,新庄段,218.84,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,880000
2543,RPQOMLPJRHOFFHD56CA,善新段,226.66,都市：住,1,1,全筆移轉,1200001
2544,RPSQMLLMPHOFFKD96CA,鹽行段,174.0,都市：其他:道路用地,1,1,全筆移轉,13390002
2545,RPQOMLOKQHOFFKD76CA,中興段,63.25,都市：住,100000,2062,持分移轉,4760001
2546,RPRNMLTJQHOFFAD88DA,正興段,24.0,都市：住,5,3,持分移轉,9560000
2547,RPRNMLTJQHOFFAD88DA,正興段,10.8,都市：其他:道路用地,5,3,持分移轉,9560001
2548,RPRNMLTJQHOFFAD88DA,正興段,2.4,都市：住,5,3,持分移轉,9560002
2549,RPTNMLQKQHOFFGD86DA,九龍段,10.98,都市：住,1,1,全筆移轉,4140000
2550,RPWNMLMLQHOFFGD86DA,興業段,14.39,都市：工,1,1,全筆移轉,10640001
2551,RPOOMLLJQHOFFCD08DA,東寧段,35.0,都市：住,5,1,持分移轉,3020000
