,編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
1441,RPPNMLMLPHOFFJB68CA,7.0,269.86,人行道、店舖、停車空間、住宅、樓梯間,鋼筋混凝土造,101年11月6日,四層,一層 二層 三層 四層 陽台 騎樓 見其他登記事項
1442,RPPPMLMLPHOFFBB08CA,23.0,84.22,集合住宅,鋼筋混凝土造,1985年1月8日,八層,六層 陽台 花台
1443,RPPPMLMLPHOFFBB08CA,23.0,35.85,共有部份,鋼筋混凝土造,1985年1月8日,八層,nan
1444,RPPNMLMKPHOFFBB77CA,nan,92.28,住家用,鋼筋混凝土加強磚造,nan,二層,(空白) 一層 二層
1445,RPPNMLLKPHOFFBB67CA,26.0,26.04,停車空間、防空避難室,鋼筋混凝土造,1982年2月12日,十一層,地下層
1446,RPPNMLLKPHOFFBB67CA,26.0,187.96,住家用,鋼筋混凝土造,1982年2月12日,十一層,十層 十一層 陽台 露台 花台
1447,RPPNMLLKPHOFFBB67CA,26.0,2.76,共有部份,鋼筋混凝土造,1982年2月12日,十一層,nan
1448,RPPNMLLKPHOFFBB67CA,26.0,24.19,共有部份,鋼筋混凝土造,1982年2月12日,十一層,nan
1449,RPSOMLMLPHOFFAB18CA,35.0,87.93,住家用,鋼筋混凝土造,1973年8月24日,七層,三層 陽台
1450,RPSOMLMLPHOFFAB18CA,35.0,28.16,nan,鋼筋混凝土造,1973年8月24日,七層,nan
1451,RPPNMLLKPHOFFGB18CA,30.0,267.96,住家用,鋼筋混凝土造,1978年2月27日,五層,一層 二層 三層 四層 五層 屋頂突出物 騎樓
1452,RPWNMLSJQHOFFFB86CA,29.0,134.72,住家用,鋼筋混凝土造,1979年9月5日,四層,一層 二層 三層 四層 陽台 平台 電梯樓梯間 地下層
1453,RPOOMLMKPHOFFCB87CA,13.0,31.66,住家用,鋼筋混凝土造,1995年11月24日,十四層,九層 陽台 雨遮
1454,RPOOMLMKPHOFFCB87CA,13.0,14.25,共用,鋼筋混凝土造,1995年11月24日,十四層,nan
1455,RPPOMLMKPHOFFDB08CA,34.0,33.64,住商用,鋼筋混凝土造,1974年9月20日,三層,一層 二層 三層 陽台 騎樓 地下層 見其他登記事項
1456,RPTOMLLKPHOFFHB78CA,28.0,122.62,住家用,鋼筋混凝土造,1980年6月27日,七層,六層 七層 陽台 花台
1457,RPTOMLLKPHOFFHB78CA,28.0,20.86,梯間　機械間　水塔等,鋼筋混凝土造,1980年6月27日,七層,nan
1458,RPTOMLLKPHOFFHB78CA,28.0,35.76,避難室　停車空間等,鋼筋混凝土造,1980年6月27日,七層,地下層
1459,RPSNMLMKPHOFFHB68CA,24.0,116.82,住家用,鋼筋混凝土造,1984年5月20日,十三層,十二層 十三層 陽台
1460,RPSNMLMKPHOFFHB68CA,24.0,7.04,共有部份,鋼筋混凝土造,1984年5月20日,十三層,nan
1461,RPSNMLMKPHOFFHB68CA,24.0,39.66,共有部份,鋼筋混凝土造,1984年5月20日,十三層,nan
1462,RPPNMLPKPHOFFFB48CA,13.0,167.32,住宅、停車空間、梯間,鋼筋混凝土造,1995年10月13日,三層,一層 二層 三層 陽台 屋頂突出物 雨遮
1463,RPPNMLOKPHOFFEB28CA,39.0,289.13,工業用,加強磚造,1969年6月13日,二層,一層 二層 陽台
1464,RPVNMLOLPHOFFAB58CA,40.0,542.37,住商用,鋼筋混凝土造,1968年10月9日,七層,一層 二層 三層 四層 五層 六層 七層 騎樓 地下層
1465,RPSNMLPKPHOFFAB28CA,23.0,1.51,社區活動中心,鋼筋混凝土造,1985年10月5日,十八層,地下一層
1466,RPSNMLPKPHOFFAB28CA,23.0,17.69,共有部份,鋼筋混凝土造,1985年12月11日,二十四層,nan
1467,RPSNMLPKPHOFFAB28CA,23.0,25.99,共同使用　,鋼筋混凝土造,1985年12月11日,二十四層,nan
1468,RPSNMLPKPHOFFAB28CA,23.0,113.0,住家用,鋼筋混凝土造,1985年12月11日,二十四層,二十三層 二十四層 陽台 露台
1469,SPSNMLPKPHOFFAB38CA,23.0,1.52,共同使用　,鋼筋混凝土造,1985年12月11日,二十四層,nan
1470,SPSNMLPKPHOFFAB38CA,23.0,13.81,防空避難室兼停車空間、停車空間,鋼筋混凝土造,1985年12月11日,二十四層,地下二層 地下三層
1471,RPRTMLRKPHOFFBB09CA,25.0,95.65,住商用,鋼筋混凝土造,1983年2月3日,八層,一層 二層 陽台 平台 騎樓 花台
1472,RPRTMLRKPHOFFBB09CA,25.0,21.66,共有部份,鋼筋混凝土造,1983年2月3日,八層,nan
1473,RPPRMLPLPHOFFBB58CA,49.0,32.59,住家用,加強磚造,1959年1月1日,二層,一層 二層
1474,RPTNMLSJQHOFFJB96CA,37.0,66.99,集合住宅,鋼筋混凝土造,1971年2月20日,五層,一層
1475,RPTNMLSJQHOFFJB96CA,37.0,9.64,共有部份,鋼筋混凝土造,1971年2月20日,五層,nan
1476,RPUOMLQKPHOFFIB86CA,14.0,246.36,人行道、店舖、停車空間、住宅、梯間,鋼筋混凝土造,1994年5月4日,三層,一層 二層 三層 陽台 騎樓 雨遮 見其他登記事項
1477,RPVOMLMKPHOFFIB56CA,29.0,167.66,住商用,鋼筋混凝土造,1979年11月3日,六層,一層 二層 陽台 平台 騎樓 花台 地下層
1478,RPVOMLMKPHOFFIB56CA,29.0,44.76,共有部份,鋼筋混凝土造,1979年10月10日,六層,nan
1479,RPQOMLTJQHOFFFB56DA,15.0,188.82,住房、機電設備室,鋼筋混凝土造,1993年10月11日,四層,一層 二層 三層 四層 陽台 雨遮 地下一層
1480,RPQOMLTJQHOFFFB56DA,15.0,51.37,停車空間、管理員室、樓梯間,鋼筋混凝土造,1993年10月11日,nan,nan
1481,RPVPMLQJQHOFFCB56DA,24.0,33.05,住家用,鋼筋混凝土造,1984年4月26日,八層,四層 陽台
1482,RPVPMLQJQHOFFCB56DA,24.0,15.49,共有部份,鋼筋混凝土造,1984年4月26日,八層,nan
1483,RPOOMLPKPHOFFAB08DA,nan,34.34,住家用,見其他登記事項,nan,二層,一層 二層
1484,RPTNMLMJQHOFFJB98CA,24.0,226.71,店舖、住宅、梯間、人行道,鋼筋混凝土造,1983年12月1日,九層,一層 二層 三層 四層 陽台 平台 騎樓 花台 見其他登記事項
1485,RPTNMLMJQHOFFJB98CA,24.0,10.64,防空避難室、梯間、水箱、機械室、停車場,鋼筋混凝土造,1983年12月1日,九層,nan
1486,RPVOMLLLPHOFFBB48CA,32.0,335.16,住家用,鋼筋混凝土造,1975年9月12日,四層,一層 二層 三層 四層 陽台 屋頂突出物 騎樓 花台 地下層
1487,RPOOMLPKPHOFFBB08CA,22.0,118.92,共有部份,鋼筋混凝土造,1986年5月3日,十三層,nan
1488,RPOOMLPKPHOFFBB08CA,22.0,222.46,辦公室,鋼筋混凝土造,1986年5月3日,十三層,十一層 陽台
1489,RPTRMLMKPHOFFBB58CA,27.0,19.73,商業用,鋼骨混凝土造,1981年3月19日,十四層,五層 陽台
1490,RPTRMLMKPHOFFBB58CA,27.0,1.49,共有部份,鋼骨混凝土造,1981年3月19日,十四層,nan
1491,RPPOMLLKPHOFFBB77CA,40.0,140.47,住商用,鋼筋混凝土造,1968年8月29日,五層,一層 騎樓 夾層
