,鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
877,北區,房地(土地+建物)+車位,臺中市北區進化北路３３６巷９號１１樓之６,13.27,商,nan,nan,1080521,土地1建物1車位1,十一層，十二層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,850828.0,192.19,4,2,3,有,有,10200000,53075.0,坡道機械,0.0,800000,nan,RPUNMLMLOHOFFBB28CA,119.09,13.27,0,nan,nan
878,北屯區,房地(土地+建物),臺中市北屯區大連路三段２１巷２２弄１號,98.76,住,nan,nan,1080513,土地7建物1車位0,全,二層,透天厝,住家用,加強磚造,720805.0,137.93,6,2,3,有,無,4388000,31813.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；含增建或未登記建物。；二親等間買賣,RPSOMLLLOHOFFBB08CA,118.62,19.31,0,nan,nan
879,南屯區,土地,楓樹段544-3地號,110.75,其他,nan,nan,1080531,土地6建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,7116795,64260.0,nan,0.0,0,包含公共設施保留地之交易。；,RPQOMLLLOHOFFCB97CA,0.0,0.0,0,nan,nan
880,西屯區,房地(土地+建物)+車位,臺中市西屯區文華路１５０巷５號,59.51,住,nan,nan,1080505,土地1建物1車位1,一層，二層，三層，四層，五層,五層,店面(店鋪),見其他登記事項,鋼筋混凝土造,950615.0,243.65,8,1,9,有,有,22680000,93084.0,坡道平面,28.22,0,含增建或未登記建物。；,RPTOMLNLOHOFFCB48CA,172.16,5.06,0,nan,nan
881,南屯區,土地,豐樂段1187-9地號,1059.0,其他,nan,nan,1080418,土地2建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,57662550,54450.0,nan,0.0,0,包含公共設施保留地之交易。；登記名義人共2人,RPUSMLQLOHOFFCB66CA,0.0,0.0,0,nan,nan
882,南屯區,房地(土地+建物)+車位,臺中市南屯區豐偉路89之5號九樓,28.11,住,nan,nan,1080512,土地1建物2車位2,九層，夾層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,830527.0,230.82,4,2,4,有,有,13000000,56321.0,坡道平面,0.0,0,nan,RPQNMLMKPHOFFCB97CA,106.86,53.11,0,nan,nan
883,西屯區,土地,民安段1944-3地號,64.95,住,nan,nan,1080318,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,11424634,175899.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPSRMLTKPHOFFCB66CA,0.0,0.0,0,nan,nan
884,豐原區,土地,市政段77-9地號,6.2,住,nan,nan,1080604,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,260400,42000.0,nan,0.0,0,向政府機關承購之案件。；,RPRNMLRKPHOFFDB68CA,0.0,0.0,0,nan,nan
885,神岡區,土地,圳堵段233-2地號,324.5,農,nan,nan,1080519,土地2建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,2300000,7088.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；畸零地或有合併使用之交易。；,RPOOMLLLOHOFFDB87CA,0.0,0.0,0,nan,nan
886,神岡區,土地,前寮段179地號,122.07,工,nan,nan,1080508,土地3建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,3339606,27358.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPPOMLLLOHOFFDB97CA,0.0,0.0,0,nan,nan
887,豐原區,土地,豐新段806地號,1754.32,nan,特定農業區,農牧用地,1080606,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,14385424,8200.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPWNMLOLOHOFFDB88CA,0.0,0.0,0,nan,nan
888,清水區,房地(土地+建物),臺中市清水區中清路九段３７巷８號,267.0,住,nan,nan,1080603,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,701015.0,151.96,5,2,3,有,無,20000000,131614.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPXOMLOLOHOFFFB66CA,151.96,0.0,0,nan,nan
