,鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
1808,五股區,房地(土地+建物)+車位,新北市五股區成泰路一段３２巷５號八樓,15.7,住,nan,nan,1080612,土地4建物1車位1,八層，夾層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,860306.0,105.64,3,2,2,有,無,8150000,77149.0,坡道平面,16.44,0,nan,RPXOMLSJQHOFFBF07CA,62.14,0.0,7.86,nan,nan
1809,新莊區,房地(土地+建物)+車位,新北市新莊區思源路230巷3號21樓,54.47,住,nan,nan,1080526,土地1建物1車位2,二十一層，二十二層,二十二層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1070717.0,391.15,5,2,2,有,無,47450000,134637.0,坡道平面,68.43,4000000,nan,RPTPMLTKRHOFFBF07CA,184.35,18.42,19.07,nan,nan
1810,新店區,房地(土地+建物)+車位,新北市新店區安祥路110巷22號13樓,55.97,nan,山坡地保育區,丙種建築用地,1080615,土地1建物1車位1,電梯樓梯間，十三層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,840729.0,144.34,3,2,2,有,有,6250000,43301.0,坡道平面,0.0,0,前陽台外推,RPOOMLTKPHOFFCF98CA,87.12,1.21,10.18,nan,nan
1811,新店區,房地(土地+建物),新北市新店區自由街３７號,47.96,住,nan,nan,1080523,土地3建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,630904.0,83.0,3,2,2,有,無,8100000,97590.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPROMLNLPHOFFCF78CA,83.0,0.0,0.0,nan,nan
1812,深坑區,房地(土地+建物),新北市深坑區雲鄉路51號,128.76,nan,山坡地保育區,丙種建築用地,1080719,土地1建物1車位0,一層，地下一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,811128.0,247.63,6,4,5,有,無,13000000,52498.0,nan,0.0,0,nan,RPSNMLNKQHOFFCF78CA,228.96,10.73,0.0,nan,nan
1813,新莊區,土地,瓊泰段191地號,130.45,其他,nan,nan,1080615,土地3建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,5919360,45376.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；受債權債務影響或債務抵償之交易。；,RPTOMLOLPHOFFBF98CA,0.0,0.0,0.0,nan,nan
1814,新莊區,土地,瓊泰段183地號,69.65,商,nan,nan,1080615,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,3159000,45355.0,nan,0.0,0,受債權債務影響或債務抵償之交易。；,RPUOMLOLPHOFFBF09CA,0.0,0.0,0.0,nan,nan
1815,五股區,土地,觀音西段262地號,317.53,其他,nan,nan,1080619,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,857600,2701.0,nan,0.0,0,包含公共設施保留地之交易。；,RPPPMLOLPHOFFBF68CA,0.0,0.0,0.0,nan,nan
1816,林口區,房地(土地+建物)+車位,新北市林口區南勢街１１８號十二樓,87.61,住,nan,nan,1080611,土地1建物1車位2,十二層，十三層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060901.0,358.17,3,2,2,有,有,31770000,95252.0,坡道平面,57.18,3100000,nan,RPVNMLNLPHOFFBF98CA,181.65,4.38,30.81,nan,nan
1817,新莊區,房地(土地+建物),新北市新莊區自立街１８２巷８號,32.44,住,nan,nan,1080625,土地1建物1車位0,一層，停車場,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,780111.0,110.58,2,1,1,有,無,15800000,142883.0,nan,0.0,0,含增建或未登記建物。；,RPRRMLTLPHOFFBF96CA,103.05,7.53,0.0,nan,nan
1818,淡水區,房地(土地+建物),新北市淡水區新民街一段１２５號四樓之１,4.99,住,nan,nan,1080704,土地2建物1車位0,四層,七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,860407.0,26.91,0,0,0,無,有,1840000,68376.0,nan,0.0,0,夾層,RPSQMLTKPHOFFEF17CA,20.14,0.0,2.23,nan,nan
1819,淡水區,土地,米蘭段68地號,76.83,住,nan,nan,1080709,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,1000000,13016.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPVQMLPLPHOFFEF17CA,0.0,0.0,0.0,nan,nan
1820,三芝區,土地,土地公埔段埔尾小段266地號,6579.0,nan,山坡地保育區,農牧用地,1080515,土地3建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,7500000,1140.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPTQMLTLPHOFFEF37CA,0.0,0.0,0.0,nan,nan
1821,蘆洲區,房地(土地+建物),新北市蘆洲區信義路188巷4弄2號,20.05,住,nan,nan,1080624,土地1建物1車位0,一層，平台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,690905.0,88.0,0,0,0,無,無,11520000,130909.0,nan,0.0,0,nan,RPPPMLPJQHOFFGF56CA,88.0,0.0,0.0,nan,nan
1822,三重區,房地(土地+建物),新北市三重區雙園街５７巷３４弄３６號,23.19,住,nan,nan,1080701,土地1建物1車位0,一層，平台,三層,公寓(5樓含以下無電梯),住家用,加強磚造,611013.0,50.04,0,0,0,無,無,6240000,124700.0,nan,0.0,0,增建或占用範圍:後庭院有鐵皮搭建.,RPQPMLNLPHOFFGF56CA,50.04,0.0,0.0,nan,nan
1823,蘆洲區,房地(土地+建物)+車位,新北市蘆洲區永安南路二段１１０之２號五樓,15.65,住,nan,nan,1080526,土地1建物1車位1,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,910104.0,170.6,3,2,2,有,有,13000000,76202.0,坡道平面,48.31,0,親友、員工或其他特殊關係間之交易。；,RPRNMLNLPHOFFGF09CA,82.88,0.0,21.97,nan,nan
1824,蘆洲區,房地(土地+建物),新北市蘆洲區信義路３５５號,21.64,住,nan,nan,1080620,土地4建物1車位0,一層，騎樓,五層,店面(店鋪),見其他登記事項,鋼筋混凝土造,720929.0,92.21,1,0,1,有,無,3060000,33185.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPQQMLOLPHOFFGF76CA,87.59,4.62,0.0,nan,nan
1825,蘆洲區,房地(土地+建物),新北市蘆洲區水湳街８９號,26.0,住,nan,nan,1080621,土地1建物1車位0,一層，平台，騎樓,五層,店面(店鋪),店舖﹐室內停車間,鋼筋混凝土造,691001.0,110.0,1,1,1,有,無,24000000,218182.0,nan,0.0,0,nan,RPTOMLOKQHOFFGF86CA,110.0,0.0,0.0,nan,nan
1826,三重區,房地(土地+建物)+車位,新北市三重區重新路一段１１０號十一樓,3.83,其他,nan,nan,1080708,土地1建物1車位1,十一層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1011220.0,91.35,0,0,0,無,有,10755018,145634.0,坡道機械,27.8,1500000,向政府機關承購之案件。；,RPRNMLKKQHOFFGF78CA,39.71,0.68,3.8,nan,nan
1827,三重區,房地(土地+建物),新北市三重區雙園街２６號,9.47,住,nan,nan,1080625,土地1建物1車位0,一層,五層,店面(店鋪),商業用,鋼筋混凝土造,710211.0,27.0,0,0,0,無,無,3200000,118519.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；含增建或未登記建物。；免除價金220萬元。,RPSPMLQKQHOFFGF07CA,27.0,0.0,0.0,nan,nan
1828,淡水區,房地(土地+建物)+車位,新北市淡水區中山北路二段１８９巷１５弄１８號十樓,35.33,住,nan,nan,1080620,土地1建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1051229.0,193.51,3,2,2,有,有,9650000,49868.0,坡道平面,42.94,0,親友、員工或其他特殊關係間之交易。；本案為二親等間買賣,RPUQMLRJQHOFFEF17CA,80.95,7.1,9.69,nan,nan
1829,貢寮區,土地,貢寮段內寮小段654地號,461.0,nan,山坡地保育區,丙種建築用地,1080705,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,600000,1302.0,nan,0.0,0,向政府機關承購之案件。；,RPQNMLPKQHOFFFF09CA,0.0,0.0,0.0,nan,nan
1830,貢寮區,土地,貢寮段內寮小段655地號,175.0,nan,山坡地保育區,農牧用地,1080705,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,48000,274.0,nan,0.0,0,向政府機關承購之案件。；,SPQNMLPKQHOFFFF56CA,0.0,0.0,0.0,nan,nan
1831,貢寮區,土地,貢寮段內寮小段655-1地號,3826.0,nan,山坡地保育區,農牧用地,1080705,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,1034000,270.0,nan,0.0,0,向政府機關承購之案件。；,TPQNMLPKQHOFFFF66CA,0.0,0.0,0.0,nan,nan
1832,八里區,房地(土地+建物)+車位,新北市八里區中華路二段３１６號二樓,29.92,住,nan,nan,1080621,土地1建物1車位1,二層,十一層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1041020.0,162.7,3,2,2,有,有,8350000,51321.0,塔式車位,32.6,0,親友、員工或其他特殊關係間之交易。；.本間建物有露台,RPTOMLNLPHOFFEF56CA,84.19,4.06,8.02,nan,nan
