,編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
633,RPRRMLQLPHOFFAF56CA,坡道平面,1380000,31.65,nan
634,RPQPMLPJPHOFFCF78CA,坡道平面,1020000,39.15,nan
635,RPQPMLPJPHOFFCF78CA,坡道平面,940000,36.06,nan
636,RPTPMLTJPHOFFBF76CA,坡道平面,0,21.63,nan
637,RPSPMLQKPHOFFDF66CA,坡道平面,0,nan,nan
638,RPOQMLMKPHOFFGF88CA,坡道平面,1450000,28.84,nan
639,RPUNMLTLPHOFFIF57CA,坡道平面,1200000,26.47,nan
640,RPUNMLTLPHOFFIF57CA,坡道平面,1200000,26.47,nan
641,RPVNMLTLPHOFFIF67CA,坡道平面,1200000,26.47,nan
642,RPWNMLTLPHOFFIF77CA,坡道平面,1150000,25.36,nan
643,RPXNMLTLPHOFFIF87CA,坡道平面,1300000,19.46,nan
644,RPXNMLTLPHOFFIF87CA,坡道平面,1300000,19.46,nan
645,RPOOMLTLPHOFFIF07CA,坡道平面,1250000,26.47,nan
646,RPPOMLTLPHOFFIF17CA,坡道平面,1150000,25.36,nan
647,RPROMLTLPHOFFIF37CA,坡道平面,1250000,26.47,nan
648,RPSOMLTLPHOFFIF47CA,坡道平面,1500000,19.46,nan
649,RPTOMLTLPHOFFIF57CA,坡道平面,1500000,19.46,nan
650,RPPOMLKMPHOFFIF98CA,坡道平面,1500000,19.46,nan
651,RPROMLKMPHOFFIF56CA,坡道平面,1200000,26.47,nan
652,RPTOMLKMPHOFFIF76CA,坡道平面,1200000,26.47,nan
653,RPQNMLLMPHOFFIF09CA,坡道平面,1250000,26.47,nan
654,RPRNMLLMPHOFFIF56CA,坡道平面,1250000,26.47,nan
655,RPSNMLLMPHOFFIF66CA,坡道平面,1250000,25.36,nan
656,RPTNMLLMPHOFFIF76CA,坡道平面,1200000,26.47,nan
657,RPVNMLLMPHOFFIF96CA,坡道平面,1250000,26.47,nan
658,RPWNMLLMPHOFFIF07CA,坡道平面,1250000,26.47,nan
659,RPWNMLLMPHOFFIF07CA,坡道平面,1250000,26.47,nan
660,RPXNMLLMPHOFFIF17CA,坡道平面,1500000,19.46,nan
661,RPOOMLLMPHOFFIF98CA,坡道平面,1250000,26.47,nan
662,RPPOMLLMPHOFFIF09CA,坡道平面,1200000,26.47,nan
663,RPQOMLLMPHOFFIF56CA,坡道平面,1250000,26.47,nan
664,RPROMLLMPHOFFIF66CA,坡道平面,1200000,25.36,nan
665,RPSOMLLMPHOFFIF76CA,坡道平面,1200000,25.36,nan
666,RPTOMLLMPHOFFIF86CA,坡道平面,1250000,26.47,nan
667,RPUOMLLMPHOFFIF96CA,坡道平面,1200000,26.47,nan
668,RPVNMLMJQHOFFIF86CA,坡道平面,1200000,26.47,nan
669,RPROMLSJPHOFFIF07CA,坡道平面,0,35.7,nan
670,RPVQMLTJPHOFFHF67CA,坡道平面,0,49.31,nan
671,RPVNMLSJQHOFFEF27EA,坡道平面,0,32.41,nan
672,RPPPMLLLQHOFFHF09CA,坡道平面,2500000,33.62,nan
673,RPPPMLLLQHOFFHF09CA,坡道平面,100000,33.62,nan
674,RPQOMLMLPHOFFHF09CA,坡道平面,0,33.34,nan
675,RPUOMLRKPHOFFHF27CA,坡道平面,0,nan,nan
676,RPPQMLTJPHOFFIF17CA,坡道平面,1250000,44.68,nan
677,RPRPMLTJPHOFFIF27CA,坡道平面,1200000,44.68,nan
678,RPSRMLOJQHOFFIF17CA,坡道平面,1550000,26.29,nan
679,RPOPMLLLQHOFFGF88CA,坡道平面,0,11.51,nan
680,RPOPMLLLQHOFFGF88CA,坡道平面,0,11.51,nan
681,RPXNMLTKPHOFFEF37CA,坡道平面,0,nan,nan
682,RPTNMLQKPHOFFDF56CA,坡道平面,0,27.7,nan
683,RPTNMLQKPHOFFDF56CA,坡道平面,0,27.7,nan
684,RPTNMLQKPHOFFDF56CA,坡道平面,0,27.7,nan
685,RPUOMLTJPHOFFCF86CA,坡道平面,0,30.31,nan
