,編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
127,RPRRMLOKOHOFFAO07CA,大學段,0.35,都市：住,100000,222,持分移轉,4950000
128,RPXOMLSLOHOFFAO87CA,中央段,31.3,都市：住,10000,1033,持分移轉,380000
129,RPUQMLOJPHOFFAO27CA,柴橋段,19.51,都市：住,10000,435,持分移轉,4080000
130,RPUQMLOJPHOFFAO27CA,柴橋段,49.31,都市：住,1,1,全筆移轉,4080006
131,RPUQMLOJPHOFFAO27CA,古峰段,0.32,都市：住,10000,435,持分移轉,6800003
132,RPPRMLMJPHOFFAO66CA,中央段,9.11,都市：住,100000,1541,持分移轉,4940000
133,RPPNMLOLOHOFFAO56CA,華江段,561.02,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,2790000
134,RPPNMLOLOHOFFAO56CA,華江段,208.85,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,4530000
135,RPSOMLKLOHOFFAO56CA,港南段,19.53,非都市：鄉村區 ; 非都市編定：乙種建築用地,15,1,持分移轉,3770000
136,RPSOMLKLOHOFFAO56CA,港南段,48.37,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,3770016
137,RPSOMLKLOHOFFAO56CA,港南段,0.72,非都市：鄉村區 ; 非都市編定：乙種建築用地,15,1,持分移轉,3770020
138,RPXOMLRKOHOFFAO67CA,唐高段,386.0,都市：住,1,1,全筆移轉,6350008
139,RPSOMLOLOHOFFAO07DA,中山段三小段,59.0,都市：商,1,1,全筆移轉,3360006
140,RPSNMLSLOHOFFAO27CA,力行段,88.28,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,6650003
141,RPVNMLOJPHOFFAO07CA,湖港段,80.48,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,10540000
142,RPRNMLLLOHOFFAO09CA,竹蓮段,16.0,都市：商,1,1,全筆移轉,1190003
143,RPRNMLOLOHOFFAO76CA,南華段,19.01,都市：商,100000,1534,持分移轉,4050000
144,RPPOMLTKOHOFFAO07CA,崙子段,2515.0,都市：住,1,1,全筆移轉,20880000
145,RPUNMLSLOHOFFAO47CA,南港段,146.34,非都市：一般農業區 ; 非都市編定：農牧用地,12,2,持分移轉,5520000
146,RPUNMLSLOHOFFAO47CA,南港段,36.47,非都市：一般農業區 ; 非都市編定：農牧用地,12,2,持分移轉,5610000
147,RPUNMLSLOHOFFAO47CA,南港段,293.35,非都市：一般農業區 ; 非都市編定：農牧用地,12,2,持分移轉,5630000
148,RPUNMLSLOHOFFAO47CA,南港段,70.73,非都市：一般農業區 ; 非都市編定：農牧用地,12,2,持分移轉,5640000
149,RPUNMLSLOHOFFAO47CA,南港段,151.89,非都市：一般農業區 ; 非都市編定：水利用地,24,2,持分移轉,5660000
150,RPUNMLSLOHOFFAO47CA,南港段,47.31,非都市：一般農業區 ; 非都市編定：甲種建築用地,12,2,持分移轉,5670000
151,RPOQMLSLOHOFFAO17CA,東山段一小段,14.75,都市：其他:部分住宅區部分商業區,100000,907,持分移轉,6420000
152,RPOQMLSLOHOFFAO17CA,東山段一小段,9.03,都市：其他:部分住宅區部分商業區,100000,907,持分移轉,6440000
153,RPXNMLPJPHOFFAO37CA,光華段,62.93,都市：住,100000,3504,持分移轉,4920000
154,RPTOMLLLOHOFFAO96EA,東門段二小段,2.0,都市：商,1,1,全筆移轉,990000
155,RPSPMLOLOHOFFAO07CA,民主段,90.0,都市：商,1,1,全筆移轉,16980000
156,RPTPMLMLOHOFFAO96CA,關東段,36.56,都市：商,10000000,104500,持分移轉,12270000
157,RPVQMLRKPHOFFAO77CA,金雅段,2.39,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1398,持分移轉,410001
158,RPVQMLRKPHOFFAO77CA,金雅段,30.54,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1398,持分移轉,420000
159,RPQRMLRKPHOFFAO37CA,金雅段,1.89,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1109,持分移轉,410001
160,RPQRMLRKPHOFFAO37CA,金雅段,24.23,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1109,持分移轉,420000
161,RPXNMLSKPHOFFAO77CA,金雅段,1.85,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1085,持分移轉,410001
162,RPXNMLSKPHOFFAO77CA,金雅段,23.71,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1085,持分移轉,420000
163,RPPNMLTKPHOFFAO07CA,金雅段,2.34,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1369,持分移轉,410001
164,RPPNMLTKPHOFFAO07CA,金雅段,29.91,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1369,持分移轉,420000
165,RPQNMLTKPHOFFAO17CA,金雅段,2.55,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1495,持分移轉,410001
166,RPQNMLTKPHOFFAO17CA,金雅段,32.66,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1495,持分移轉,420000
167,RPXOMLTKPHOFFAO97CA,金雅段,2.6,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1526,持分移轉,410001
168,RPXOMLTKPHOFFAO97CA,金雅段,33.41,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1529,持分移轉,420000
169,RPQPMLTKPHOFFAO37CA,金雅段,2.42,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1419,持分移轉,410001
170,RPQPMLTKPHOFFAO37CA,金雅段,31.0,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1419,持分移轉,420000
171,RPRPMLTKPHOFFAO47CA,金雅段,2.48,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1452,持分移轉,410001
172,RPRPMLTKPHOFFAO47CA,金雅段,31.72,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1452,持分移轉,420000
173,RPSPMLTKPHOFFAO57CA,金雅段,2.7,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1580,持分移轉,410001
174,RPSPMLTKPHOFFAO57CA,金雅段,34.52,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1580,持分移轉,420000
175,RPTPMLTKPHOFFAO67CA,金雅段,1.85,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1085,持分移轉,410001
176,RPTPMLTKPHOFFAO67CA,金雅段,23.71,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1085,持分移轉,420000
177,RPUPMLTKPHOFFAO77CA,金雅段,2.32,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1360,持分移轉,410001
178,RPUPMLTKPHOFFAO77CA,金雅段,29.71,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1360,持分移轉,420000
179,RPVPMLTKPHOFFAO87CA,金雅段,1.87,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1098,持分移轉,410001
180,RPVPMLTKPHOFFAO87CA,金雅段,23.99,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1098,持分移轉,420000
181,RPWPMLTKPHOFFAO97CA,金雅段,1.87,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1098,持分移轉,410001
182,RPWPMLTKPHOFFAO97CA,金雅段,23.99,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1098,持分移轉,420000
183,RPQQMLTKPHOFFAO47CA,金雅段,2.31,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1354,持分移轉,410001
184,RPQQMLTKPHOFFAO47CA,金雅段,29.58,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1354,持分移轉,420000
185,RPSQMLTKPHOFFAO67CA,金雅段,2.31,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1354,持分移轉,410001
186,RPSQMLTKPHOFFAO67CA,金雅段,29.58,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1354,持分移轉,420000
187,RPTQMLTKPHOFFAO77CA,金雅段,2.31,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1354,持分移轉,410001
188,RPTQMLTKPHOFFAO77CA,金雅段,29.58,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1354,持分移轉,420000
189,RPUQMLTKPHOFFAO87CA,金雅段,2.31,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1354,持分移轉,410001
190,RPUQMLTKPHOFFAO87CA,金雅段,29.58,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1354,持分移轉,420000
191,RPVQMLTKPHOFFAO97CA,金雅段,2.26,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1326,持分移轉,410001
192,RPVQMLTKPHOFFAO97CA,金雅段,28.97,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1326,持分移轉,420000
193,RPXQMLTKPHOFFAO18CA,金雅段,2.32,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1359,持分移轉,410001
194,RPXQMLTKPHOFFAO18CA,金雅段,29.69,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1359,持分移轉,420000
195,RPORMLTKPHOFFAO37CA,金雅段,2.43,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1425,持分移轉,410001
196,RPORMLTKPHOFFAO37CA,金雅段,31.13,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1425,持分移轉,420000
197,RPPRMLTKPHOFFAO47CA,金雅段,1.85,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1085,持分移轉,410001
198,RPPRMLTKPHOFFAO47CA,金雅段,23.71,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1085,持分移轉,420000
199,RPQRMLTKPHOFFAO57CA,金雅段,1.87,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1098,持分移轉,410001
200,RPQRMLTKPHOFFAO57CA,金雅段,23.99,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1098,持分移轉,420000
201,RPRRMLTKPHOFFAO67CA,金雅段,1.87,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1098,持分移轉,410001
202,RPRRMLTKPHOFFAO67CA,金雅段,23.99,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1098,持分移轉,420000
203,RPVRMLTKPHOFFAO08CA,金雅段,2.8,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1644,持分移轉,410001
204,RPVRMLTKPHOFFAO08CA,金雅段,35.92,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1644,持分移轉,420000
205,RPWRMLTKPHOFFAO18CA,金雅段,2.31,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1354,持分移轉,410001
206,RPWRMLTKPHOFFAO18CA,金雅段,29.58,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1354,持分移轉,420000
207,RPXRMLTKPHOFFAO28CA,金雅段,2.31,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1354,持分移轉,410001
208,RPXRMLTKPHOFFAO28CA,金雅段,29.58,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1354,持分移轉,420000
209,RPOSMLTKPHOFFAO47CA,金雅段,2.31,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1354,持分移轉,410001
210,RPOSMLTKPHOFFAO47CA,金雅段,29.58,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1354,持分移轉,420000
211,RPPSMLTKPHOFFAO57CA,金雅段,2.28,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1335,持分移轉,410001
212,RPPSMLTKPHOFFAO57CA,金雅段,29.17,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1335,持分移轉,420000
213,RPQSMLTKPHOFFAO67CA,金雅段,2.32,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1359,持分移轉,410001
214,RPQSMLTKPHOFFAO67CA,金雅段,29.69,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1359,持分移轉,420000
215,RPVSMLTKPHOFFAO18CA,金雅段,1.85,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1085,持分移轉,410000
216,RPVSMLTKPHOFFAO18CA,金雅段,23.71,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1085,持分移轉,420000
217,RPWSMLTKPHOFFAO28CA,金雅段,1.85,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1085,持分移轉,410001
218,RPWSMLTKPHOFFAO28CA,金雅段,23.71,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1085,持分移轉,420000
219,RPXSMLTKPHOFFAO38CA,金雅段,1.88,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1099,持分移轉,410001
220,RPXSMLTKPHOFFAO38CA,金雅段,24.01,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1099,持分移轉,420000
221,RPRNMLKLPHOFFAO09CA,金雅段,2.31,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1354,持分移轉,410001
222,RPRNMLKLPHOFFAO09CA,金雅段,29.58,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1354,持分移轉,420000
223,RPSNMLKLPHOFFAO56CA,金雅段,2.28,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1335,持分移轉,410001
224,RPSNMLKLPHOFFAO56CA,金雅段,29.17,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1335,持分移轉,420000
225,RPTNMLKLPHOFFAO66CA,金雅段,2.79,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1634,持分移轉,410001
226,RPTNMLKLPHOFFAO66CA,金雅段,35.7,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1634,持分移轉,420000
227,RPUNMLKLPHOFFAO76CA,金雅段,2.43,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1425,持分移轉,410001
228,RPUNMLKLPHOFFAO76CA,金雅段,31.13,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1425,持分移轉,420000
229,RPVNMLKLPHOFFAO86CA,金雅段,1.85,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1085,持分移轉,410001
230,RPVNMLKLPHOFFAO86CA,金雅段,23.71,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1085,持分移轉,420000
231,RPWNMLKLPHOFFAO96CA,金雅段,1.85,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1085,持分移轉,410001
232,RPWNMLKLPHOFFAO96CA,金雅段,23.71,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1085,持分移轉,420000
233,RPXNMLKLPHOFFAO07CA,金雅段,1.89,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1110,持分移轉,410001
234,RPXNMLKLPHOFFAO07CA,金雅段,24.25,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1110,持分移轉,420000
235,RPOOMLKLPHOFFAO88CA,金雅段,1.88,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1099,持分移轉,410001
236,RPOOMLKLPHOFFAO88CA,金雅段,24.01,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1099,持分移轉,420000
237,RPPOMLKLPHOFFAO98CA,金雅段,2.31,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1354,持分移轉,410001
238,RPPOMLKLPHOFFAO98CA,金雅段,29.58,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1354,持分移轉,420000
239,RPQOMLKLPHOFFAO09CA,金雅段,2.31,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1354,持分移轉,410001
240,RPQOMLKLPHOFFAO09CA,金雅段,29.58,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1354,持分移轉,420000
241,RPROMLKLPHOFFAO56CA,金雅段,2.31,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1354,持分移轉,410001
242,RPROMLKLPHOFFAO56CA,金雅段,29.58,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1354,持分移轉,420000
243,RPPNMLLLPHOFFAO98CA,金雅段,2.31,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1354,持分移轉,410001
244,RPPNMLLLPHOFFAO98CA,金雅段,29.58,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1354,持分移轉,420000
245,RPQNMLLLPHOFFAO09CA,金雅段,2.28,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1335,持分移轉,410001
