,鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
905,中山區,房地(土地+建物),臺北市中山區建國北路一段150號四樓之2,7.08,住,nan,nan,1080708,土地1建物1車位0,四層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,990318.0,54.51,1,1,1,有,有,6800000,124748.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPSNMLKLQHOFFCA18DA,27.32,4.72,3.99,nan,nan
906,中山區,房地(土地+建物),臺北市中山區林森北路289號八樓之5,1.59,商,nan,nan,1080628,土地2建物1車位0,八層,十二層,套房(1房1廳1衛),住家用,鋼筋混凝土造,660121.0,16.75,1,1,1,有,有,3020000,180299.0,nan,0.0,0,受債權債務影響或債務抵償之交易。；,RPRQMLTLPHOFFCA56DA,16.75,0.0,0.0,nan,nan
907,內湖區,房地(土地+建物),臺北市內湖區民權東路六段２８０巷６９弄３８號３樓,39.24,住,nan,nan,1080630,土地1建物1車位0,二層，三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,780301.0,126.88,3,2,2,有,有,16400000,129256.0,nan,0.0,0,含增建或未登記建物。,RPOOMLRLPHOFFCA48DA,98.09,1.28,8.65,nan,nan
908,內湖區,房地(土地+建物)+車位,臺北市內湖區陽光街３２１巷４８號,124.62,其他,nan,nan,1080430,土地2建物4車位5,一層，地下一層,七層,其他,見其他登記事項,鋼筋混凝土造,980119.0,741.31,2,1,0,有,有,114450000,154389.0,坡道平面,0.0,10000000,nan,RPVOMLQLPHOFFCA09DA,350.07,0.0,26.35,nan,nan
909,內湖區,房地(土地+建物)+車位,臺北市內湖區陽光街３２１巷４２號,85.22,其他,nan,nan,1080430,土地2建物2車位5,一層，地下一層,七層,其他,見其他登記事項,鋼筋混凝土造,980119.0,557.8,1,1,0,有,有,85550000,153370.0,坡道平面,0.0,10000000,nan,RPPOMLQLPHOFFCA48DA,238.62,0.0,14.59,nan,nan
910,中正區,房地(土地+建物),臺北市中正區新生南路1段50號2樓之3,11.18,商,nan,nan,1080603,土地4建物1車位0,二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,650724.0,121.13,0,0,0,無,有,9200000,75951.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPPNMLNLPHOFFBA97DA,96.28,0.0,0.0,nan,nan
911,大同區,房地(土地+建物),臺北市大同區赤峰街17巷18號,47.0,住,nan,nan,1080611,土地2建物1車位0,一層,二層,公寓(5樓含以下無電梯),nan,加強磚造,nan,54.6,1,1,1,有,無,11887800,217725.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPROMLOLPHOFFBA38DA,54.6,0.0,0.0,nan,nan
912,文山區,房地(土地+建物)+車位,臺北市文山區木柵路三段４２號８樓,34.73,住,nan,nan,1080617,土地1建物1車位1,八層，電梯樓梯間,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,850830.0,146.08,3,2,2,有,有,19140000,131024.0,坡道平面,0.0,0,含增建或未登記建物。,RPVNMLRLPHOFFAA88DA,98.6,1.85,12.32,nan,nan
913,大安區,房地(土地+建物),臺北市大安區大安路一段８號二樓,9.68,住,nan,nan,1080704,土地1建物1車位0,二層,七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,680925.0,47.58,1,1,1,有,有,9580000,201345.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPUOMLMLPHOFFFA78CA,34.75,0.0,5.17,nan,nan
914,大安區,房地(土地+建物),臺北市大安區大安路一段６號二樓,9.68,住,nan,nan,1080704,土地1建物1車位0,二層,七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,680925.0,47.58,1,1,1,有,有,9580000,201345.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPWOMLMLPHOFFFA98CA,34.75,0.0,5.17,nan,nan
