,編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
840,RPTNMLLLOHOFFAA97DA,河堤段三小段,1.6,都市：住,10000.0,20.0,持分移轉,1400000
841,RPROMLTKOHOFFFA98CA,復興段一小段,44.25,都市：商,4.0,1.0,持分移轉,690000
842,RPTNMLMKPHOFFFA48CA,仁愛段二小段,10.62,都市：其他:道路用地,8.0,1.0,持分移轉,2340000
843,RPTNMLMKPHOFFEA38CA,三玉段五小段,77.44,都市：住,100000.0,4023.0,持分移轉,1060000
844,RPVNMLTKOHOFFDA09CA,新光段二小段,32.68,都市：住,10000.0,105.0,持分移轉,5980000
845,RPVNMLTKOHOFFDA09CA,新光段二小段,4.8,都市：住,10000.0,105.0,持分移轉,5990000
846,RPVNMLTKOHOFFDA09CA,新光段二小段,0.37,都市：住,10000.0,105.0,持分移轉,6000000
847,RPWRMLRKPHOFFCA76CA,舊宗段,48.27,都市：住,270000.0,199.0,持分移轉,1130000
848,RPXRMLLLOHOFFCA88CA,中山段三小段,4.96,都市：商,10000.0,117.0,持分移轉,2350000
849,RPUNMLNLPHOFFBA38CA,華中段二小段,13.96,都市：住,20000.0,572.0,持分移轉,4710000
850,RPUNMLNLPHOFFBA38CA,華中段二小段,18.13,都市：住,20000.0,572.0,持分移轉,4710002
851,SPUNMLNLPHOFFBA48CA,福星段二小段,23.16,都市：商,2025.0,82.0,持分移轉,4710000
852,SPUNMLNLPHOFFBA48CA,福星段二小段,0.81,都市：商,2025.0,82.0,持分移轉,4710001
853,SPUNMLNLPHOFFBA48CA,福星段二小段,3.24,都市：其他:公設用地,2025.0,82.0,持分移轉,4710002
854,RPVOMLSKOHOFFAA78CA,實踐段二小段,25.42,都市：住,10000.0,204.0,持分移轉,5190000
855,RPVOMLSKOHOFFAA78CA,實踐段二小段,0.02,都市：其他:道路用地,10000.0,204.0,持分移轉,5190001
856,RPQPMLSLOHOFFAA48CA,政大段二小段,23.37,都市：住,100000.0,781.0,持分移轉,4730000
