,鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
54,竹東鎮,房地(土地+建物),新竹縣竹東鎮忠孝街７１巷４６號,69.17,nan,山坡地保育區,丙種建築用地,1080410,土地3建物1車位0,三層，四層，五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,840922.0,184.72,4,2,2,有,無,5200000,28151.0,nan,0.0,0,nan,RPQNMLLMNHOFFCJ68CA,136.43,48.29,0.0,nan,nan
55,芎林鄉,土地,竹林段1093地號,296.59,nan,特定農業區,農牧用地,1080430,土地3建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,3897000,13139.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPWUNLSLNHOFFCJ08CA,0.0,0.0,0.0,nan,nan
56,竹北市,房地(土地+建物)+車位,新竹縣竹北市十興路３０５巷１３弄１２０號七樓之三,35.58,住,nan,nan,1060413,土地1建物1車位2,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080311.0,249.68,4,2,2,有,有,13480000,62111.0,坡道平面,72.9,2500000,土地及建物分次登記案件。前案土地登記收件字號：；,RPTOMLTKOHOFFBJ07CA,104.56,0.0,12.85,nan,nan
57,竹北市,房地(土地+建物)+車位,新竹縣竹北市十興路３０５巷１３弄６１號三樓之一,23.3,住,nan,nan,1040410,土地1建物1車位1,三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080307.0,140.83,2,2,1,有,有,6530000,52563.0,坡道平面,41.33,1300000,土地及建物分次登記案件。前案土地登記收件字號：；,RPWOMLTKOHOFFBJ37CA,56.37,0.0,9.51,nan,nan
58,竹北市,房地(土地+建物)+車位,新竹縣竹北市十興路３０５巷13弄６１號七樓之一,23.3,住,nan,nan,1050902,土地1建物1車位1,七層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080307.0,140.83,2,2,1,有,有,7100000,59296.0,坡道平面,41.33,1200000,土地及建物分次登記案件。前案土地登記收件字號：；,RPXOMLTKOHOFFBJ47CA,56.37,0.0,9.51,nan,nan
59,竹北市,房地(土地+建物)+車位,新竹縣竹北市十興路３０５巷１３弄１２０號七樓之五,35.21,住,nan,nan,1070428,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080311.0,212.82,4,2,2,有,有,11900000,59817.0,坡道平面,36.45,1350000,土地及建物分次登記案件。前案土地登記收件字號：；,RPQOMLTKOHOFFBJ76CA,104.58,0.0,12.54,nan,nan
60,竹北市,房地(土地+建物),新竹縣竹北市十興路３０５巷１３弄１２８號,16.6,住,nan,nan,1080509,土地1建物1車位0,一層，見其他登記事項,十五層,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,1080311.0,83.39,0,0,2,無,有,7780000,93297.0,nan,0.0,0,土地及建物分次登記案件。前案土地登記收件字號：；,RPOPMLNKOHOFFBJ68CA,55.39,0.0,0.0,nan,nan
61,竹北市,房地(土地+建物),新竹縣竹北市十興路３０５巷１３弄１２２號,14.96,住,nan,nan,1080509,土地1建物1車位0,一層，見其他登記事項,十五層,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,1080311.0,74.78,0,0,2,無,有,6400000,85584.0,nan,0.0,0,土地及建物分次登記案件。前案土地登記收件字號：；,RPPPMLNKOHOFFBJ78CA,49.67,0.0,0.0,nan,nan
62,竹北市,房地(土地+建物)+車位,新竹縣竹北市十興路３０５巷１３弄６１號六樓之一,23.3,住,nan,nan,1060505,土地1建物1車位1,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080307.0,140.83,2,2,1,有,有,6900000,58291.0,坡道平面,41.33,1100000,土地及建物分次登記案件。前案土地登記收件字號：；,RPQNMLMJPHOFFBJ58CA,56.37,0.0,9.51,nan,nan
63,竹北市,房地(土地+建物)+車位,新竹縣竹北市縣政八街１９號十樓,23.89,商,nan,nan,1080422,土地1建物1車位1,十層，夾層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,910419.0,182.06,3,3,3,有,有,10100000,55476.0,坡道平面,0.0,0,nan,RPWOMLKMNHOFFBJ56CA,113.28,0.0,10.04,nan,nan
64,新豐鄉,房地(土地+建物)+車位,新竹縣新豐鄉建興路一段９３巷１號十二樓之２,37.55,住,nan,nan,1070914,土地2建物1車位2,見其他登記事項，十二層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080125.0,224.88,3,2,1,有,有,12500000,67372.0,坡道平面,66.06,1800000,nan,RPPOMLRKOHOFFDJ66CA,92.95,13.7,7.13,nan,nan
65,湖口鄉,房地(土地+建物),新竹縣湖口鄉中山路二段４２８巷１３０號,945.7,農,nan,nan,1080316,土地6建物1車位0,一層，二層,二層,農舍,農舍,加強磚造,740130.0,213.6,4,2,4,有,無,14000000,nan,nan,0.0,0,nan,RPOOMLSLNHOFFDJ66CA,213.6,0.0,0.0,nan,nan
66,竹東鎮,土地,上段370地號,911.96,nan,山坡地保育區,農牧用地,1080403,土地2建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,809002,887.0,nan,0.0,0,向政府機關承購之案件。；購買標售逾期未辦理繼承登記土地,RPOOMLKKOHOFFCJ58EA,0.0,0.0,0.0,nan,nan
67,新豐鄉,房地(土地+建物),新竹縣新豐鄉松柏街１６９號,72.16,nan,鄉村區,乙種建築用地,1080510,土地2建物1車位0,一層，二層，三層，四層,四層,套房(1房1廳1衛),住家用,鋼筋混凝土造,1010113.0,176.73,6,1,6,有,無,9800000,55452.0,nan,0.0,0,nan,RPSOMLTLNHOFFDJ17CA,160.72,2.72,13.29,nan,nan
68,峨眉鄉,土地,中興段中興小段50-25地號,2481.0,nan,特定農業區,農牧用地,1080517,土地2建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,2500000,1008.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPURNLTLNHOFFCJ67CA,0.0,0.0,0.0,nan,nan
69,寶山鄉,建物,新竹縣寶山鄉創新一路7號,0.0,nan,nan,nan,1080502,土地0建物1車位0,一層，二層，三層，四層，五層，六層，地下一層，地下二層,六層,廠辦,見其他登記事項,鋼骨鋼筋混凝土造,871006.0,14512.01,0,0,0,無,無,275000000,18950.0,nan,0.0,0,nan,RPVNMLLKOHOFFCJ09CA,14.0,351.81,0.0,nan,nan
70,竹北市,房地(土地+建物),新竹縣竹北市聯興三街３７１巷５弄９號,125.5,nan,特定農業區,甲種建築用地,1080429,土地4建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,850613.0,173.03,4,1,3,有,無,5000000,28897.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPXNMLQJOHOFFBJ96CA,154.67,5.76,12.6,nan,nan
71,竹北市,房地(土地+建物)+車位,新竹縣竹北市十興路３０５巷１３弄７１號六樓之二,22.26,住,nan,nan,1040711,土地1建物1車位1,六層,七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080320.0,136.7,2,2,1,有,有,6200000,51499.0,坡道平面,39.61,1200000,土地及建物分次登記案件。前案土地登記收件字號：；,RPVQMLTKOHOFFBJ47CA,58.03,0.0,9.95,nan,nan
72,竹北市,房地(土地+建物)+車位,新竹縣竹北市十興路３０５巷１３弄７１號四樓之一,21.35,住,nan,nan,1050820,土地1建物1車位1,四層,七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080320.0,130.86,2,2,1,有,有,6500000,57336.0,坡道平面,37.55,1150000,土地及建物分次登記案件。前案土地登記收件字號：；,RPWQMLTKOHOFFBJ57CA,56.9,0.0,8.53,nan,nan
73,竹北市,房地(土地+建物)+車位,新竹縣竹北市十興路３０５巷１３弄７１號二樓之五,21.35,住,nan,nan,1040502,土地1建物1車位1,二層,七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080320.0,132.92,2,2,1,有,有,6680000,58729.0,坡道平面,39.61,1200000,土地及建物分次登記案件。前案土地登記收件字號：；,RPWPMLTKOHOFFBJ47CA,56.9,0.0,8.53,nan,nan
74,竹北市,房地(土地+建物)+車位,新竹縣竹北市十興路３０５巷１３弄７１號三樓之五,21.35,住,nan,nan,1060118,土地1建物1車位1,三層,七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080320.0,130.86,2,2,1,有,有,6530000,57121.0,坡道平面,37.55,1200000,土地及建物分次登記案件。前案土地登記收件字號：；,RPXPMLTKOHOFFBJ57CA,56.9,0.0,8.53,nan,nan
75,竹北市,房地(土地+建物)+車位,新竹縣竹北市十興路３０５巷１３弄７１號三樓之三,22.26,住,nan,nan,1040426,土地1建物1車位1,三層,七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080320.0,136.7,2,2,1,有,有,7000000,58708.0,坡道平面,39.61,1300000,土地及建物分次登記案件。前案土地登記收件字號：；,RPOQMLTKOHOFFBJ76CA,58.03,0.0,9.95,nan,nan
76,竹北市,房地(土地+建物)+車位,新竹縣竹北市十興路３０５巷１３弄７１號五樓之三,22.26,住,nan,nan,1040716,土地1建物1車位1,五層,七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080320.0,134.65,2,2,1,有,有,6750000,57673.0,坡道平面,37.55,1150000,土地及建物分次登記案件。前案土地登記收件字號：；,RPOPMLTKOHOFFBJ66CA,58.03,0.0,9.95,nan,nan
77,竹北市,房地(土地+建物)+車位,新竹縣竹北市十興路３０５巷１３弄７１號五樓之一,21.35,住,nan,nan,1050915,土地1建物1車位1,五層,七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080320.0,132.92,2,2,1,有,有,6550000,57336.0,坡道平面,39.61,1200000,土地及建物分次登記案件。前案土地登記收件字號：；,RPPPMLTKOHOFFBJ76CA,56.9,0.0,8.53,nan,nan
