,編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
308,RPUSMLTKOHOFFBJ57CA,水瀧段,16.1,都市：商,10000,43,持分移轉,15260000
309,RPVSMLTKOHOFFBJ67CA,水瀧段,16.1,都市：商,10000,43,持分移轉,15260000
310,RPXNMLSKOHOFFBJ27CA,水瀧段,15.73,都市：商,10000,42,持分移轉,15260000
311,RPOOMLSKOHOFFBJ09CA,水瀧段,15.73,都市：商,10000,42,持分移轉,15260000
312,RPPOMLSKOHOFFBJ56CA,水瀧段,15.73,都市：商,10000,42,持分移轉,15260000
313,RPQOMLSKOHOFFBJ66CA,水瀧段,15.73,都市：商,10000,42,持分移轉,15260000
314,RPROMLSKOHOFFBJ76CA,水瀧段,15.73,都市：商,10000,42,持分移轉,15260000
315,RPSOMLSKOHOFFBJ86CA,水瀧段,15.73,都市：商,10000,42,持分移轉,15260000
316,RPTOMLSKOHOFFBJ96CA,水瀧段,16.1,都市：商,10000,43,持分移轉,15260000
317,RPUOMLSKOHOFFBJ07CA,水瀧段,15.73,都市：商,10000,42,持分移轉,15260000
318,RPVOMLSKOHOFFBJ17CA,水瀧段,15.73,都市：商,10000,42,持分移轉,15260000
319,RPWOMLSKOHOFFBJ27CA,水瀧段,15.73,都市：商,10000,42,持分移轉,15260000
320,RPXOMLSKOHOFFBJ37CA,水瀧段,15.73,都市：商,10000,42,持分移轉,15260000
321,RPOPMLSKOHOFFBJ56CA,水瀧段,15.73,都市：商,10000,42,持分移轉,15260000
322,RPPPMLSKOHOFFBJ66CA,水瀧段,16.1,都市：商,10000,43,持分移轉,15260000
323,RPQPMLSKOHOFFBJ76CA,水瀧段,16.1,都市：商,10000,43,持分移轉,15260000
324,RPRPMLSKOHOFFBJ86CA,水瀧段,16.1,都市：商,10000,43,持分移轉,15260000
325,RPSPMLSKOHOFFBJ96CA,水瀧段,16.1,都市：商,10000,43,持分移轉,15260000
326,RPTPMLSKOHOFFBJ07CA,水瀧段,16.1,都市：商,10000,43,持分移轉,15260000
327,RPRRMLRKOHOFFBJ96CA,水瀧段,10.86,都市：商,10000,29,持分移轉,15260000
328,RPVPMLSKOHOFFBJ27CA,水瀧段,9.36,都市：商,10000,25,持分移轉,15260000
329,RPVNMLTKOHOFFBJ17CA,水瀧段,11.61,都市：商,10000,31,持分移轉,15260000
330,RPWNMLTKOHOFFBJ27CA,水瀧段,11.61,都市：商,10000,31,持分移轉,15260000
331,RPXNMLTKOHOFFBJ37CA,水瀧段,10.86,都市：商,10000,29,持分移轉,15260000
332,RPTRMLRKOHOFFBJ17CA,水瀧段,10.86,都市：商,10000,29,持分移轉,15260000
333,RPURMLRKOHOFFBJ27CA,水瀧段,10.86,都市：商,10000,29,持分移轉,15260000
334,RPVRMLRKOHOFFBJ37CA,水瀧段,10.86,都市：商,10000,29,持分移轉,15260000
335,RPQOMLRKOHOFFBJ56CA,水瀧段,11.61,都市：商,10000,31,持分移轉,15260000
336,RPWQMLRKOHOFFBJ37CA,水瀧段,10.86,都市：商,10000,29,持分移轉,15260000
337,RPXQMLRKOHOFFBJ47CA,水瀧段,10.86,都市：商,10000,29,持分移轉,15260000
338,RPORMLRKOHOFFBJ66CA,水瀧段,10.86,都市：商,10000,29,持分移轉,15260000
339,RPPRMLRKOHOFFBJ76CA,水瀧段,10.86,都市：商,10000,29,持分移轉,15260000
340,RPSOMLRKOHOFFBJ76CA,水瀧段,11.61,都市：商,10000,31,持分移轉,15260000
341,RPTOMLRKOHOFFBJ86CA,水瀧段,11.61,都市：商,10000,31,持分移轉,15260000
342,RPVOMLRKOHOFFBJ07CA,水瀧段,11.61,都市：商,10000,31,持分移轉,15260000
343,RPWOMLRKOHOFFBJ17CA,水瀧段,11.61,都市：商,10000,31,持分移轉,15260000
344,RPXOMLRKOHOFFBJ27CA,水瀧段,11.23,都市：商,10000,30,持分移轉,15260000
