,編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
782,RPXTMLRLOHOFFBJ87CA,nan,21.86,本共有部分之項目有梯間、機房、水箱等三項。,鋼筋混凝土造,108年4月16日,二十四層,nan
783,RPOUMLRLOHOFFBJ07CA,nan,57.46,住家用,鋼筋混凝土造,108年4月16日,二十四層,五層 陽台
784,RPOUMLRLOHOFFBJ07CA,nan,42.12,本共有部分之項目有停車空間、防空避難室兼停車空間、管委會空間、防災空間等四項。,鋼筋混凝土造,108年4月16日,二十四層,nan
785,RPOUMLRLOHOFFBJ07CA,nan,12.88,本共有部分之項目有梯間、機房、水箱等三項。,鋼筋混凝土造,108年4月16日,二十四層,nan
786,RPPUMLRLOHOFFBJ17CA,nan,57.46,住家用,鋼筋混凝土造,108年4月16日,二十四層,十五層 陽台
787,RPPUMLRLOHOFFBJ17CA,nan,42.12,本共有部分之項目有停車空間、防空避難室兼停車空間、管委會空間、防災空間等四項。,鋼筋混凝土造,108年4月16日,二十四層,nan
788,RPPUMLRLOHOFFBJ17CA,nan,12.88,本共有部分之項目有梯間、機房、水箱等三項。,鋼筋混凝土造,108年4月16日,二十四層,nan
789,RPQUMLRLOHOFFBJ27CA,nan,57.46,住家用,鋼筋混凝土造,108年4月16日,二十四層,十六層 陽台
790,RPQUMLRLOHOFFBJ27CA,nan,42.12,本共有部分之項目有停車空間、防空避難室兼停車空間、管委會空間、防災空間等四項。,鋼筋混凝土造,108年4月16日,二十四層,nan
791,RPQUMLRLOHOFFBJ27CA,nan,12.88,本共有部分之項目有梯間、機房、水箱等三項。,鋼筋混凝土造,108年4月16日,二十四層,nan
792,RPRUMLRLOHOFFBJ37CA,nan,97.47,住家用,鋼筋混凝土造,108年4月16日,二十四層,四層 陽台
793,RPRUMLRLOHOFFBJ37CA,nan,51.95,本共有部分之項目有停車空間、防空避難室兼停車空間、管委會空間、防災空間等四項。,鋼筋混凝土造,108年4月16日,二十四層,nan
794,RPRUMLRLOHOFFBJ37CA,nan,21.86,本共有部分之項目有梯間、機房、水箱等三項。,鋼筋混凝土造,108年4月16日,二十四層,nan
795,RPSUMLRLOHOFFBJ47CA,nan,97.47,住家用,鋼筋混凝土造,108年4月16日,二十四層,十二層 陽台
796,RPSUMLRLOHOFFBJ47CA,nan,51.95,本共有部分之項目有停車空間、防空避難室兼停車空間、管委會空間、防災空間等四項。,鋼筋混凝土造,108年4月16日,二十四層,nan
797,RPSUMLRLOHOFFBJ47CA,nan,21.86,本共有部分之項目有梯間、機房、水箱等三項。,鋼筋混凝土造,108年4月16日,二十四層,nan
798,RPTUMLRLOHOFFBJ57CA,nan,97.47,住家用,鋼筋混凝土造,108年4月16日,二十四層,十四層 陽台
799,RPTUMLRLOHOFFBJ57CA,nan,51.95,本共有部分之項目有停車空間、防空避難室兼停車空間、管委會空間、防災空間等四項。,鋼筋混凝土造,108年4月16日,二十四層,nan
800,RPTUMLRLOHOFFBJ57CA,nan,21.86,本共有部分之項目有梯間、機房、水箱等三項。,鋼筋混凝土造,108年4月16日,二十四層,nan
801,RPUUMLRLOHOFFBJ67CA,nan,97.47,住家用,鋼筋混凝土造,108年4月16日,二十四層,十六層 陽台
802,RPUUMLRLOHOFFBJ67CA,nan,51.95,本共有部分之項目有停車空間、防空避難室兼停車空間、管委會空間、防災空間等四項。,鋼筋混凝土造,108年4月16日,二十四層,nan
803,RPUUMLRLOHOFFBJ67CA,nan,21.86,本共有部分之項目有梯間、機房、水箱等三項。,鋼筋混凝土造,108年4月16日,二十四層,nan
804,RPVUMLRLOHOFFBJ77CA,nan,97.47,住家用,鋼筋混凝土造,108年4月16日,二十四層,二十層 陽台
805,RPVUMLRLOHOFFBJ77CA,nan,51.95,本共有部分之項目有停車空間、防空避難室兼停車空間、管委會空間、防災空間等四項。,鋼筋混凝土造,108年4月16日,二十四層,nan
806,RPVUMLRLOHOFFBJ77CA,nan,21.86,本共有部分之項目有梯間、機房、水箱等三項。,鋼筋混凝土造,108年4月16日,二十四層,nan
807,RPSPMLPLOHOFFBJ76CA,2.0,77.23,商業用,鋼筋混凝土造,106年11月3日,十四層,一層 陽台 雨遮
808,RPSPMLPLOHOFFBJ76CA,2.0,63.09,本共有部分之項目有停車空間、防空避難室兼停車空間、門廳、開放空間、管委會空間、梯間、電梯機房、水箱等八項。,鋼筋混凝土造,106年11月3日,十四層,nan
809,RPXNMLRLOHOFFBJ27CA,15.0,33.0,共用部分,鋼筋混凝土造,1993年1月13日,十層,nan
810,RPXNMLRLOHOFFBJ27CA,15.0,143.79,住家用,鋼筋混凝土造,1993年1月13日,十層,十層 陽台 雨遮 夾層
811,RPXNMLRLOHOFFBJ27CA,15.0,18.81,共用部分,鋼筋混凝土造,1993年1月13日,十層,nan
812,RPXNMLRLOHOFFBJ27CA,15.0,0.2,守衛室,鋼筋混凝土造,1993年1月13日,十層,一層
813,RPXNMLRLOHOFFBJ27CA,15.0,46.33,共用部分,鋼筋混凝土造,1993年1月13日,十層,nan
814,RPQQMLLLOHOFFBJ88CA,nan,70.9,住家用,鋼筋混凝土造,108年4月16日,二十四層,七層 陽台
815,RPQQMLLLOHOFFBJ88CA,nan,45.44,本共有部分之項目有停車空間、防空避難室兼停車空間、管委會空間、防災空間等四項。,鋼筋混凝土造,108年4月16日,二十四層,nan
816,RPQQMLLLOHOFFBJ88CA,nan,15.9,本共有部分之項目有梯間、機房、水箱等三項。,鋼筋混凝土造,108年4月16日,二十四層,nan
817,RPRQMLLLOHOFFBJ98CA,nan,70.9,住家用,鋼筋混凝土造,108年4月16日,二十四層,三層 陽台
818,RPRQMLLLOHOFFBJ98CA,nan,45.44,本共有部分之項目有停車空間、防空避難室兼停車空間、管委會空間、防災空間等四項。,鋼筋混凝土造,108年4月16日,二十四層,nan
819,RPRQMLLLOHOFFBJ98CA,nan,15.9,本共有部分之項目有梯間、機房、水箱等三項。,鋼筋混凝土造,108年4月16日,二十四層,nan
820,RPSQMLLLOHOFFBJ09CA,nan,70.9,住家用,鋼筋混凝土造,108年4月16日,二十四層,十五層 陽台
821,RPSQMLLLOHOFFBJ09CA,nan,44.25,本共有部分之項目有停車空間、防空避難室兼停車空間、管委會空間、防災空間等四項。,鋼筋混凝土造,108年4月16日,二十四層,nan
822,RPSQMLLLOHOFFBJ09CA,nan,15.9,本共有部分之項目有梯間、機房、水箱等三項。,鋼筋混凝土造,108年4月16日,二十四層,nan
823,RPTQMLLLOHOFFBJ56CA,nan,70.9,住家用,鋼筋混凝土造,108年4月16日,二十四層,二十一層 陽台
824,RPTQMLLLOHOFFBJ56CA,nan,45.44,本共有部分之項目有停車空間、防空避難室兼停車空間、管委會空間、防災空間等四項。,鋼筋混凝土造,108年4月16日,二十四層,nan
825,RPTQMLLLOHOFFBJ56CA,nan,15.9,本共有部分之項目有梯間、機房、水箱等三項。,鋼筋混凝土造,108年4月16日,二十四層,nan
826,RPUQMLLLOHOFFBJ66CA,nan,66.01,住家用,鋼筋混凝土造,108年4月16日,二十四層,二十層 陽台
827,RPUQMLLLOHOFFBJ66CA,nan,45.44,本共有部分之項目有停車空間、防空避難室兼停車空間、管委會空間、防災空間等四項。,鋼筋混凝土造,108年4月16日,二十四層,nan
