,鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
847,前鎮區,土地,仁愛段686-6地號,57.0,住,nan,nan,1080604,土地2建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,2131800,37400.0,nan,0.0,0,向政府機關承購之案件。；,RPQOMLRKOHOFFCE88DA,0.0,0.0,0.0,nan,nan
848,前鎮區,土地,仁愛段391-119地號,29.0,商,nan,nan,1080604,土地2建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,1044000,36000.0,nan,0.0,0,向政府機關承購之案件。；,RPVQMLSKOHOFFCE07DA,0.0,0.0,0.0,nan,nan
849,前鎮區,土地,仁愛段41-29地號,67.0,住,nan,nan,1080606,土地3建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,3000000,44776.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPPRMLSKOHOFFCE56DA,0.0,0.0,0.0,nan,nan
850,三民區,房地(土地+建物),高雄市三民區建興路370號7樓之5,5.66,商,nan,nan,1080605,土地1建物1車位0,七層,十層,套房(1房1廳1衛),nan,鋼筋混凝土造,690605.0,38.05,1,0,1,有,有,500000,13141.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPXNMLRKOHOFFDE96DA,28.74,0.0,0.0,nan,nan
851,三民區,土地,中都段三小段644地號,32.0,住,nan,nan,1080528,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,1376000,43000.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；含增建或未登記建物。；,RPWNMLQKPHOFFDE86DA,0.0,0.0,0.0,nan,nan
852,鹽埕區,土地,鹽府段79地號,69.0,商,nan,nan,1080402,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,6200000,89855.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPQPMLSKOHOFFAE88DA,0.0,0.0,0.0,nan,nan
853,苓雅區,土地,福河段1718地號,22.0,其他,nan,nan,1080605,土地2建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,500000,22727.0,nan,0.0,0,包含公共設施保留地之交易。；,RPUNMLSKOHOFFBE56DA,0.0,0.0,0.0,nan,nan
854,鳳山區,房地(土地+建物),高雄市鳳山區光復路269之3號2樓,8.83,住,nan,nan,1080527,土地1建物1車位0,二層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,860228.0,74.61,2,1,1,有,有,3500000,46911.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPPNMLKLOHOFFGE48DA,47.27,7.71,0.0,nan,nan
855,鳳山區,房地(土地+建物)+車位,高雄市鳳山區勝利路95號四樓,45.22,住,nan,nan,1080523,土地1建物1車位1,四層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1010605.0,180.2,3,2,2,有,有,5300000,29412.0,坡道平面,0.0,0,親友、員工或其他特殊關係間之交易。；,RPTNMLOLOHOFFGE66DA,101.61,10.69,0.0,nan,nan
856,鳳山區,房地(土地+建物),高雄市鳳山區南京路393巷17之4號,26.9,住,nan,nan,1080502,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,710628.0,73.65,3,1,2,有,無,1500000,20367.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPSOMLPKPHOFFGE76DA,73.65,0.0,0.0,nan,nan
857,苓雅區,房地(土地+建物),高雄市苓雅區苓雅一路313號四樓及五樓,38.96,商,nan,nan,1080606,土地1建物2車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,751110.0,255.84,10,0,10,有,無,10000000,39087.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；受債權債務影響或債務抵償之交易。；,RPPNMLMKOHOFFBE28CD,205.58,16.2,0.0,nan,nan
858,前鎮區,土地,仁愛段5-14地號,88.0,住,nan,nan,1080603,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,2407680,27360.0,nan,0.0,0,向政府機關承購之案件。；,RPPNMLLKOHOFFCE28CD,0.0,0.0,0.0,nan,nan
859,三民區,房地(土地+建物),高雄市三民區九如二路345號二樓之2，二樓之3,28.09,商,nan,nan,1080524,土地1建物2車位0,二層,三層,公寓(5樓含以下無電梯),nan,鋼筋混凝土造,711103.0,122.48,2,2,2,有,無,5200564,42461.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；二戶打通使用,RPPNMLLKOHOFFDE38CD,122.48,0.0,0.0,nan,nan
860,鳳山區,房地(土地+建物),高雄市鳳山區建國路三段439巷8之3號,68.0,住,nan,nan,1080430,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,690510.0,146.98,5,2,3,有,無,3021400,20557.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPPNMLLKOHOFFGE68CD,146.98,0.0,0.0,nan,nan
861,楠梓區,房地(土地+建物),高雄市楠梓區久昌街23巷12弄10號三樓之1,30.59,住,nan,nan,1080301,土地2建物1車位0,三層,五層,公寓(5樓含以下無電梯),nan,鋼筋混凝土造,701222.0,73.08,3,2,2,有,無,1500000,20525.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPRPMLKLOHOFFEE68DA,73.08,0.0,0.0,nan,nan
