,編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
1137,RPRNMLTKOHOFFGE76CA,小坪段,177.29,非都市：鄉村區 ; 非都市編定：乙種建築用地,1.0,1.0,全筆移轉,6390008
1138,RPRNMLRKOHOFFGE56CA,五甲段,57.33,都市：住,3.0,1.0,持分移轉,10840003
1139,RPUNMLOKOHOFFGE56CA,道爺?段,19.03,都市：住,30.0,1.0,持分移轉,10790017
1140,RPTNMLSLOHOFFGE96CA,文山段,38.65,都市：住,10000.0,372.0,持分移轉,1860000
1141,RPPNMLMLOHOFFHE68CA,大洲段,92.21,非都市：特定農業區 ; 非都市編定：甲種建築用地,1.0,1.0,全筆移轉,880000
1142,RPPNMLMJPHOFFHE58CA,中正段,127.1,非都市：鄉村區 ; 非都市編定：乙種建築用地,3.0,2.0,持分移轉,4750000
1143,RPPNMLMJPHOFFHE58CA,中正段,15.95,非都市：鄉村區 ; 非都市編定：乙種建築用地,3.0,2.0,持分移轉,4790000
1144,RPPNMLMJPHOFFHE58CA,中正段,14.67,非都市：鄉村區 ; 非都市編定：乙種建築用地,3.0,2.0,持分移轉,4810000
1145,RPPNMLMJPHOFFHE58CA,中正段,82.48,非都市：鄉村區 ; 非都市編定：乙種建築用地,3.0,2.0,持分移轉,4820000
1146,RPPNMLPKOHOFFJE09CA,阿蓮段,1971.0,非都市：特定農業區 ; 非都市編定：農牧用地,1.0,1.0,全筆移轉,28550000
1147,RPROMLOLOHOFFIE66CA,翠屏段,61.0,都市：住,1.0,1.0,全筆移轉,4630000
1148,RPXNMLNKOHOFFLE27CA,後庄段,45.73,都市：住,3.0,2.0,持分移轉,7490000
1149,RPPNMLNJPHOFFKE98CA,美濃段二小段,205.12,都市：住,100.0,32.0,持分移轉,63410000
1150,RPRNMLNLOHOFFLE76CA,赤崁段潮州寮三小段,6925.0,都市：工,1.0,1.0,全筆移轉,65990000
1151,RPRNMLNLOHOFFLE76CA,赤崁段潮州寮三小段,6907.0,都市：工,1.0,1.0,全筆移轉,66000000
1152,RPRNMLNLOHOFFLE76CA,赤崁段潮州寮三小段,6900.0,都市：工,1.0,1.0,全筆移轉,66010000
1153,RPSNMLNLOHOFFLE86CA,赤崁段潮州寮三小段,3500.0,都市：工,1.0,1.0,全筆移轉,66470000
1154,RPQNMLOKOHOFFCE48DA,鎮昌段,84.0,都市：住,1.0,1.0,全筆移轉,2930028
1155,RPWNMLLKPHOFFAE68DA,內惟段一小段,0.28,都市：其他:道路用地,160.0,1.0,持分移轉,15550000
1156,RPVOMLOKOHOFFGE86DA,道爺?段,26.79,都市：住,100000.0,261.0,持分移轉,10850058
1157,RPOPMLLLOHOFFGE68DA,牛潮埔段,17.34,都市：住,10000.0,150.0,持分移轉,7580000
1158,RPPNMLRKOHOFFLE96DA,王公廟段,4.0,都市：住,1.0,1.0,全筆移轉,19300078
1159,RPPNMLRKOHOFFLE96DA,王公廟段,7.0,都市：住,1.0,1.0,全筆移轉,19300080
1160,RPVPMLTKOHOFFGE47DA,中崙段,39.61,都市：住,100000.0,63.0,持分移轉,150000
1161,RPVPMLTKOHOFFGE47DA,中崙段,0.08,都市：住,625000000.0,819.0,持分移轉,150000
1162,RPTOMLKLOHOFFGE98DA,牛潮埔段,67.0,都市：其他:道路用地,1.0,1.0,全筆移轉,6880001
1163,SPTOMLKLOHOFFGE09DA,牛潮埔段,32.0,都市：其他:道路用地,1.0,1.0,全筆移轉,6880002
1164,RPPNMLSKPHOFFFE56DA,大公段,0.74,都市：其他:道路用地,10000.0,28.0,持分移轉,3670000
1165,RPPNMLSKPHOFFFE56DA,大公段,3.65,都市：住,10000.0,28.0,持分移轉,3710000
1166,RPSOMLRKOHOFFEE66DA,和平段一小段,1.88,都市：住,120.0,1.0,持分移轉,6280000
1167,RPXNMLLKPHOFFIE96DA,觀音山段,81.73,都市：農,1.0,1.0,全筆移轉,1470000
1168,RPXNMLLKPHOFFIE96DA,觀音山段,3.89,都市：農,1.0,1.0,全筆移轉,1530000
1169,RPXNMLLKPHOFFIE96DA,觀音山段,44.97,都市：農,1.0,1.0,全筆移轉,1600000
1170,RPXNMLLKPHOFFIE96DA,觀音山段,17.66,都市：農,1.0,1.0,全筆移轉,6070002
1171,RPPNMLKLOHOFFCE08DA,鎮昌段,2.7,都市：住,1.0,1.0,全筆移轉,230098
1172,RPPNMLKLOHOFFCE08DA,鎮昌段,4.0,都市：住,1.0,1.0,全筆移轉,230129
1173,RPSOMLTKOHOFFLE47CA,翁園段,81.65,都市：住,1.0,1.0,全筆移轉,10750007
1174,RPQOMLRKOHOFFIE76CA,清福段,8.2,都市：住,1.0,1.0,全筆移轉,4150006
1175,RPROMLRKOHOFFIE86CA,清福段,0.83,都市：住,1.0,1.0,全筆移轉,4150001
1176,RPSOMLRKOHOFFIE96CA,清福段,1.84,都市：住,1.0,1.0,全筆移轉,4150005
1177,RPQNMLQLOHOFFGE09CA,新庄子段,36.71,都市：商,10000.0,1236.0,持分移轉,950042
