,編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
1166,RPQNMLMLPHOFFJE09CA,41.0,167.67,住家用,加強磚造,1967年1月1日,二層,一層 二層 屋頂突出物
1167,RPPNMLMJPHOFFJE78CA,51.0,1064.3,商業用,加強磚造,1957年1月1日,二層,一層 二層
1168,RPSNMLTJPHOFFGE86CA,48.0,95.2,住商用,加強磚造,1960年8月15日,二層,一層 二層 騎樓
1169,RPVNMLKKPHOFFGE98CA,27.0,221.16,住家用,鋼筋混凝土造,1981年4月19日,十九層,三層 四層 陽台
1170,RPVNMLKKPHOFFGE98CA,27.0,91.05,共有部份,鋼筋混凝土造,1981年4月19日,十九層,nan
1171,RPPOMLLJPHOFFGE48CA,36.0,128.0,住商用,鋼筋混凝土造,1972年10月1日,四層,一層 二層 三層 四層 騎樓
1172,RPPNMLNJPHOFFGE58CA,37.0,73.65,住家用,鋼筋混凝土造,1970年12月30日,五層,一層
1173,RPUOMLTLPHOFFFE27CA,nan,83.79,集合住宅,鋼筋混凝土造,108年3月22日,十五層,七層 陽台 雨遮
1174,RPUOMLTLPHOFFFE27CA,nan,63.51,集合住宅,鋼筋混凝土造,108年3月22日,十五層,nan
1175,RPPRMLMLPHOFFEE88CA,6.0,142.19,住家用,鋼筋混凝土造,101年11月22日,十五層,一層 陽台 夾層
1176,RPPRMLMLPHOFFEE88CA,6.0,67.04,本共有部分之項目有防空避難室兼停車空間、停車空間、供管委會使用空間、頂蓋型廣場式開放空間、門廳、車道、樓梯間、機械室、水箱等９項。,鋼筋混凝土造,101年11月22日,十五層,nan
1177,RPTNMLPKPHOFFFE56CA,42.0,231.81,住商用,鋼筋混凝土造,1966年11月4日,三層,一層 二層 三層 騎樓
1178,SPTNMLPKPHOFFFE66CA,42.0,136.5,住商用,鋼筋混凝土造,1966年11月4日,三層,一層 二層 三層 騎樓
1179,RPWNMLTJPHOFFEE07CA,25.0,127.86,住商用,鋼筋混凝土造,1983年7月8日,十層,一層 二層 陽台 平台 騎樓
1180,RPWNMLTJPHOFFEE07CA,25.0,25.73,見使用執照,鋼筋混凝土造,1983年7月8日,十層,nan
1181,RPUNMLRKPHOFFDE66CA,29.0,1107.29,nan,鋼筋混凝土造,1979年11月30日,三層,一層 二層 三層 屋頂突出物 騎樓 地下層
1182,RPQOMLSJPHOFFDE98CA,27.0,264.33,見使用執照,鋼骨鋼筋混凝土造,1981年8月21日,五十層,十四層 走廊
1183,RPQOMLSJPHOFFDE98CA,27.0,207.1,見使用執照,鋼骨鋼筋混凝土造,1981年8月21日,五十層,nan
1184,RPXOMLSJPHOFFDE07CA,23.0,0.08,見使用執照,鋼筋混凝土造,1985年3月25日,十八層,地下一層
1185,RPXOMLSJPHOFFDE07CA,23.0,129.89,住家用,鋼筋混凝土造,1985年3月25日,十八層,十七層 十八層 陽台 電梯樓梯間 露台 雨遮
1186,RPXOMLSJPHOFFDE07CA,23.0,34.59,見使用執照,鋼筋混凝土造,1985年3月25日,十八層,nan
1187,RPXOMLSJPHOFFDE07CA,23.0,21.01,見使用執照,鋼筋混凝土造,1985年3月25日,十八層,nan
1188,RPWNMLPJPHOFFCE09CA,9.0,52.82,住家用,鋼筋混凝土造,1998年12月3日,十五層,六層 陽台 雨遮
1189,RPWNMLPJPHOFFCE09CA,9.0,24.66,本共有部分之項目有防空避難室兼停車空間、管委會使用空間、管理員室、車道、樓梯間、水箱、污水、電梯機房、配電室等９項。,鋼筋混凝土造,1998年12月3日,十五層,nan
1190,RPSOMLOJPHOFFCE68CA,37.0,69.1,nan,鋼筋混凝土造,1971年4月7日,五層,一層 二層
1191,RPWNMLLJPHOFFCE68CA,17.0,119.42,住商用,鋼筋混凝土造,1991年6月19日,十四層,一層 二層 三層 陽台
1192,RPWNMLLJPHOFFCE68CA,17.0,47.38,共有部份,鋼筋混凝土造,1991年6月19日,十四層,nan
1193,RPRPMLSLOHOFFBE09CA,48.0,111.92,nan,加強磚造,1960年10月1日,二層,一層 二層 騎樓
1194,RPPNMLOJPHOFFBE18CA,25.0,24.81,住家用,鋼筋混凝土造,1982年12月20日,七層,三層 陽台 走廊
1195,RPPNMLOJPHOFFBE18CA,25.0,9.46,見使用執照,鋼筋混凝土造,1982年12月20日,七層,nan
1196,RPVOMLMKPHOFFAE68CA,36.0,42.15,nan,鋼筋混凝土造,1972年10月27日,五層,三層 陽台
1197,RPVOMLMKPHOFFAE68CA,36.0,7.23,nan,鋼筋混凝土造,1972年10月27日,五層,nan
1198,RPSNMLPKPHOFFAE58CA,28.0,243.92,住家用,鋼筋混凝土造,1980年11月27日,四層,一層 二層 三層 四層 陽台 平台 屋頂突出物 露台 地下層
1199,RPROMLOJPHOFFBE48CA,43.0,36.82,nan,鋼筋混凝土造,1965年8月2日,十二層,四層
1200,RPROMLPJPHOFFCE68CA,42.0,101.99,住商用,加強磚造,1966年3月30日,二層,一層 二層 騎樓
1201,RPSNMLNJPHOFFDE58CA,45.0,153.96,nan,加強磚造,1963年8月28日,三層,一層 二層 三層 騎樓
1202,RPTOMLMJPHOFFDE68CA,24.0,23.27,住家用,鋼筋混凝土造,1984年6月15日,二十一層,十層 花台 走廊
1203,RPTOMLMJPHOFFDE68CA,24.0,9.34,見使用執照,鋼筋混凝土造,1984年6月15日,二十一層,nan
1204,RPQNMLRKPHOFFDE88CA,13.0,80.65,住家用,鋼筋混凝土造,1995年3月3日,十五層,十二層 陽台
1205,RPQNMLRKPHOFFDE88CA,13.0,65.81,見使用執照,鋼筋混凝土造,1995年3月3日,十五層,nan
