編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
RPUOMLNKOHOFFFA68CA,金華段四小段,16.8,都市：住,5,1,持分移轉,3140000
RPROMLNKOHOFFFA38CA,通化段二小段,1.59,都市：商,100000,452,持分移轉,110000
RPROMLNKOHOFFFA38CA,通化段二小段,1.46,都市：商,100000,452,持分移轉,120000
RPROMLNKOHOFFFA38CA,通化段二小段,0.04,都市：商,100000,452,持分移轉,130001
RPRPMLPLOHOFFCA58DA,中山段一小段,8.32,都市：商,1000000,7240,持分移轉,8510000
RPTOMLSLOHOFFEA09CA,開明段三小段,35,都市：住,1,1,全筆移轉,5640000
RPTOMLSLOHOFFEA09CA,開明段三小段,25,都市：住,1,1,全筆移轉,5660000
RPUNMLTKOHOFFEA09CA,行義段二小段,24.92,都市：其他:市場用地 (公共設施用地),10000,166,持分移轉,760000
RPPNMLPKOHOFFCA08DA,東湖段二小段,116.46,都市：住,100000,1414,持分移轉,20000
RPQNMLOLOHOFFEA28CA,軟橋段,47.73,都市：其他:市民住宅區,100000,503,持分移轉,850000
RPSPMLKLOHOFFEA28CA,三玉段二小段,43.5,都市：住,24,2,持分移轉,4290000
RPQOMLRKPHOFFCA48CA,石潭段四小段,9.54,都市：商,100000,340,持分移轉,4230000
RPQOMLLKOHOFFEA97CA,大業段四小段,30.76,都市：住,10000,449,持分移轉,370000
RPPPMLMKOHOFFEA08CA,溪洲段三小段,63.07,都市：其他:堤防用地,15,11,持分移轉,7330001
RPPPMLMKOHOFFEA08CA,溪洲段三小段,116.6,都市：其他:堤防用地,15,11,持分移轉,5950000
RPPPMLMKOHOFFEA08CA,溪洲段三小段,88.73,都市：其他:堤防用地,15,11,持分移轉,5960000
RPPPMLMKOHOFFEA08CA,溪洲段三小段,13.93,都市：其他:道路用地,15,11,持分移轉,7330000
RPOOMLMKOHOFFEA87CA,桃源段二小段,25.06,都市：住,5000,29,持分移轉,2510000
RPOPMLPLOHOFFAA08DA,興隆段一小段,23.83,都市：住,10000,58,持分移轉,2710000
RPOPMLPLOHOFFAA08DA,興隆段一小段,1.12,都市：住,10000,89,持分移轉,2760004
RPOPMLPLOHOFFAA08DA,興隆段一小段,0.02,都市：住,10000,89,持分移轉,2820008
RPPPMLLKOHOFFEA97CA,天玉段一小段,0.19,都市：住,100000,20,持分移轉,10720000
RPPPMLLKOHOFFEA97CA,天玉段一小段,0,都市：住,100000,20,持分移轉,10720002
RPVOMLLKOHOFFEA48CA,蘭雅段二小段,0.03,都市：工,100000,1,持分移轉,50000
RPVOMLLKOHOFFEA48CA,蘭雅段二小段,0,都市：住,100000,1,持分移轉,70000
RPVOMLLKOHOFFEA48CA,蘭雅段二小段,0.01,都市：住,100000,1,持分移轉,130000
RPUOMLLKOHOFFEA38CA,立農段五小段,22.26,都市：商,100000,4892,持分移轉,3540000
RPWOMLLKOHOFFEA58CA,秀山段三小段,40.45,都市：住,5344,328,持分移轉,2120000
RPOPMLKKOHOFFEA77CA,豐年段一小段,2235,都市：農,1,1,全筆移轉,2790000
SPPPMLLKOHOFFEA08CA,天玉段一小段,82.27,都市：住,100000,8525,持分移轉,10720000
SPPPMLLKOHOFFEA08CA,天玉段一小段,0.89,都市：住,100000,8525,持分移轉,10720002
SPQPMLLKOHOFFEA18CA,天玉段一小段,81.35,都市：住,100000,8429,持分移轉,10720000
SPQPMLLKOHOFFEA18CA,天玉段一小段,0.88,都市：住,100000,8429,持分移轉,10720002
RPQPMLLKOHOFFEA08CA,天玉段一小段,0.19,都市：住,100000,20,持分移轉,10720000
RPQPMLLKOHOFFEA08CA,天玉段一小段,0,都市：住,100000,20,持分移轉,10720002
RPXNMLLKOHOFFEA58CA,文林段一小段,34.7,都市：住,10,1,持分移轉,2610001
RPTNMLLKOHOFFEA18CA,文林段一小段,34,都市：住,2,1,持分移轉,4670000
RPTNMLLKOHOFFEA18CA,文林段一小段,6.5,都市：住,2,1,持分移轉,4670001
RPVPMLLKOHOFFEA58CA,富安段一小段,143.25,都市：其他:公園用地,4,1,持分移轉,200000
RPXPMLLKOHOFFEA78CA,陽明段四小段,14.01,都市：住,10000,40,持分移轉,5200000
RPXPMLLKOHOFFEA78CA,陽明段四小段,0.67,都市：其他:道路用地,10000,40,持分移轉,5200001
RPXPMLLKOHOFFEA78CA,陽明段四小段,0.28,都市：其他:人行步道用地,10000,40,持分移轉,5200002
RPPQMLNKOHOFFEA28CA,新民段三小段,6.25,都市：住,4,1,持分移轉,4230000
RPPQMLNKOHOFFEA28CA,新民段三小段,24.5,都市：住,4,1,持分移轉,4240000
RPRNMLMKOHOFFEA08CA,關渡段二小段,38.2,都市：商,10000,360,持分移轉,1840000
RPRNMLMKOHOFFEA08CA,關渡段二小段,1,都市：商,2,1,持分移轉,1920001
RPTOMLOKOHOFFDA48CA,美仁段二小段,7.79,都市：商,1000000,7190,持分移轉,4860000
RPTSMLQKPHOFFCA09CA,東湖段六小段,39.9,都市：住,38840,798,持分移轉,2100000
RPROMLMKOHOFFDA08CA,美仁段一小段,4.13,都市：商,10000,119,持分移轉,8310000
RPROMLMKOHOFFDA08CA,美仁段一小段,2.43,都市：商,10000,119,持分移轉,8330002
RPUNMLPLOHOFFEA78CA,溪洲段三小段,22.93,都市：其他:堤防用地,15,4,持分移轉,7330001
RPUNMLPLOHOFFEA78CA,溪洲段三小段,42.4,都市：其他:堤防用地,15,4,持分移轉,5950000
RPUNMLPLOHOFFEA78CA,溪洲段三小段,32.27,都市：其他:堤防用地,15,4,持分移轉,5960000
RPUNMLPLOHOFFEA78CA,溪洲段三小段,5.07,都市：其他:道路用地,15,4,持分移轉,7330000
RPROMLLKOHOFFDA97CA,寶清段五小段,17.2,都市：住,20,4,持分移轉,2220000
RPROMLLKOHOFFDA97CA,寶清段五小段,1.8,都市：其他:道路用地(公共設施用地)【62/12/31】,20,4,持分移轉,2220001
RPTNMLMKOHOFFDA18CA,中南段一小段,65,都市：住,1,1,全筆移轉,2220000
RPSNMLOJPHOFFEA38CA,蘭雅段三小段,9.38,都市：住,100000,1572,持分移轉,2050000
RPOOMLLKOHOFFDA67CA,玉成段四小段,14.75,都市：住,4,1,持分移轉,5160000
RPOOMLLKOHOFFDA67CA,玉成段四小段,22.5,都市：住,4,1,持分移轉,5160001
RPXNMLMKOHOFFDA58CA,三興段一小段,0.55,都市：商,20000,6,持分移轉,10000000
RPRNMLTLOHOFFDA78CA,延吉段三小段,22.68,都市：住,10000,71,持分移轉,2490000
RPXPMLRKOHOFFDA66CA,玉成段五小段,14.21,都市：商,10000,83,持分移轉,490000
RPPPMLTKOHOFFDA68CA,永吉段二小段,8.26,都市：商,53130,168,持分移轉,10000
RPPPMLTKOHOFFDA68CA,永吉段二小段,5.17,都市：住,53130,168,持分移轉,10003
RPRNMLKLOHOFFDA87CA,敦化段三小段,48.87,都市：住,10000,1328,持分移轉,1110000
RPVPMLOKOHOFFDA78CA,民生段,13.72,都市：其他:住宅用地(民生社區特定專用區)。,437400,4771,持分移轉,350037
RPTPMLMJPHOFFDA38CA,美仁段一小段,33,都市：住,4,1,持分移轉,6700012
RPTPMLMJPHOFFDA38CA,美仁段一小段,9.42,都市：住,480,7,持分移轉,6700033
RPTPMLMJPHOFFDA38CA,美仁段一小段,0.5,都市：其他:道路用地,4,1,持分移轉,6700040
RPTPMLMJPHOFFDA38CA,美仁段一小段,0.04,都市：其他:道路用地,480,7,持分移轉,6700047
RPTQMLMKOHOFFDA48CA,永吉段一小段,18.28,都市：住,100000,1142,持分移轉,1220000
RPXNMLNJPHOFFCA58CA,長安段四小段,8.22,都市：商,10000,155,持分移轉,40000
RPTNMLNJPHOFFCA18CA,長春段一小段,15.92,都市：商,10000,329,持分移轉,7550000
RPXNMLNJPHOFFCA58CA,長安段四小段,1.74,都市：商,10000,155,持分移轉,110000
RPTNMLNJPHOFFCA18CA,長春段一小段,0.89,都市：商,10000,329,持分移轉,7720000
RPXNMLNJPHOFFCA58CA,長安段四小段,1.33,都市：商,10000,155,持分移轉,110001
RPRQMLMKOHOFFDA28CA,福德段一小段,3.86,都市：其他:道路用地,14,1,持分移轉,3140001
RPRQMLMKOHOFFDA28CA,福德段一小段,2.86,都市：其他:道路用地,14,1,持分移轉,3140003
RPRQMLMKOHOFFDA28CA,福德段二小段,25,都市：其他:道路用地,14,1,持分移轉,1330000
RPQRMLTJPHOFFCA88CA,正義段三小段,8.04,都市：商,100000,720,持分移轉,6380000
RPWNMLOLOHOFFCA68CA,文德段五小段,16.22,都市：工,1000000,3934,持分移轉,2750000
RPRNMLRLOHOFFCA48CA,長安段二小段,5.58,都市：住,80000,775,持分移轉,7050000
RPRNMLRLOHOFFCA48CA,長安段二小段,1.83,都市：住,80000,775,持分移轉,7060000
RPRNMLRLOHOFFCA48CA,長安段二小段,4.47,都市：商,80000,775,持分移轉,7070000
RPRNMLRLOHOFFCA48CA,長安段二小段,8.79,都市：商,80000,775,持分移轉,7080000
RPTPMLNJPHOFFEA58CA,蘭雅段三小段,15.38,都市：住,100000,2577,持分移轉,2050000
RPXOMLOJPHOFFEA98CA,百齡段三小段,28.72,都市：住,10000,386,持分移轉,3730000
RPXOMLOJPHOFFEA98CA,百齡段三小段,0.12,都市：其他:道,10000,386,持分移轉,3730002
RPRNMLLLOHOFFCA87CA,長安段二小段,6.33,都市：住,80000,879,持分移轉,7050000
RPRNMLLLOHOFFCA87CA,長安段二小段,2.08,都市：住,80000,879,持分移轉,7060000
RPRNMLLLOHOFFCA87CA,長安段二小段,5.07,都市：商,80000,879,持分移轉,7070000
RPRNMLLLOHOFFCA87CA,長安段二小段,9.97,都市：商,80000,879,持分移轉,7080000
RPVPMLKLOHOFFCA38CA,碧湖段四小段,0.18,都市：住,135,2,持分移轉,4420000
RPVPMLKLOHOFFCA38CA,碧湖段四小段,11.21,都市：住,80,1,持分移轉,4510000
RPQNMLNJPHOFFCA87CA,長春段一小段,19.17,都市：商,10000,396,持分移轉,7550000
RPQNMLNJPHOFFCA87CA,長春段一小段,1.07,都市：商,10000,396,持分移轉,7720000
RPRPMLTJPHOFFCA78CA,碧湖段四小段,12.56,都市：住,10000,170,持分移轉,6180000
RPUNMLSLOHOFFEA09CA,行義段二小段,24.36,都市：住,10000,104,持分移轉,2730000
RPTPMLTJPHOFFCA98CA,康寧段三小段,20.57,都市：其他:市場用地,100000,497,持分移轉,2670001
RPROMLTKOHOFFCA68CA,吉林段四小段,5.27,都市：商,10000,432,持分移轉,3020000
RPROMLTKOHOFFCA68CA,吉林段四小段,4.8,都市：住,10000,432,持分移轉,3030000
RPQPMLTKOHOFFCA68CA,德惠段三小段,43.25,都市：住,4,1,持分移轉,7500000
RPSNMLLLOHOFFCA97CA,長安段二小段,6.33,都市：住,80000,879,持分移轉,7050000
RPSNMLLLOHOFFCA97CA,長安段二小段,2.08,都市：住,80000,879,持分移轉,7060000
RPSNMLLLOHOFFCA97CA,長安段二小段,5.07,都市：商,80000,879,持分移轉,7070000
RPSNMLLLOHOFFCA97CA,長安段二小段,9.97,都市：商,80000,879,持分移轉,7080000
RPSRMLLLOHOFFCA38CA,長安段二小段,6.08,都市：住,80000,845,持分移轉,7050000
RPSRMLLLOHOFFCA38CA,長安段二小段,2,都市：住,80000,845,持分移轉,7060000
RPSRMLLLOHOFFCA38CA,長安段二小段,4.87,都市：商,80000,845,持分移轉,7070000
RPSRMLLLOHOFFCA38CA,長安段二小段,9.59,都市：商,80000,845,持分移轉,7080000
RPQRMLLLOHOFFCA18CA,長安段二小段,6.33,都市：住,80000,879,持分移轉,7050000
RPQRMLLLOHOFFCA18CA,長安段二小段,2.08,都市：住,80000,879,持分移轉,7060000
RPQRMLLLOHOFFCA18CA,長安段二小段,5.07,都市：商,80000,879,持分移轉,7070000
RPQRMLLLOHOFFCA18CA,長安段二小段,9.97,都市：商,80000,879,持分移轉,7080000
RPSQMLRLOHOFFCA88CA,石潭段四小段,8.42,都市：商,100000,300,持分移轉,4230000
RPVQMLLLOHOFFCA58CA,長安段二小段,6.33,都市：住,80000,879,持分移轉,7050000
RPVQMLLLOHOFFCA58CA,長安段二小段,2.08,都市：住,80000,879,持分移轉,7060000
RPVQMLLLOHOFFCA58CA,長安段二小段,5.07,都市：商,80000,879,持分移轉,7070000
RPVQMLLLOHOFFCA58CA,長安段二小段,9.97,都市：商,80000,879,持分移轉,7080000
RPTQMLLLOHOFFCA38CA,長安段二小段,5.82,都市：住,80000,808,持分移轉,7050000
RPTQMLLLOHOFFCA38CA,長安段二小段,1.91,都市：住,80000,808,持分移轉,7060000
RPTQMLLLOHOFFCA38CA,長安段二小段,4.66,都市：商,80000,808,持分移轉,7070000
RPTQMLLLOHOFFCA38CA,長安段二小段,9.17,都市：商,80000,808,持分移轉,7080000
RPPRMLLLOHOFFCA08CA,長安段二小段,6.08,都市：住,80000,845,持分移轉,7050000
RPPRMLLLOHOFFCA08CA,長安段二小段,2,都市：住,80000,845,持分移轉,7060000
RPPRMLLLOHOFFCA08CA,長安段二小段,4.87,都市：商,80000,845,持分移轉,7070000
RPPRMLLLOHOFFCA08CA,長安段二小段,9.59,都市：商,80000,845,持分移轉,7080000
RPSQMLOKOHOFFCA48CA,碧湖段四小段,44.42,都市：住,12,1,持分移轉,10750000
RPPSMLLLOHOFFCA18CA,長安段二小段,5.59,都市：住,80000,777,持分移轉,7050000
RPPSMLLLOHOFFCA18CA,長安段二小段,1.84,都市：住,80000,777,持分移轉,7060000
RPPSMLLLOHOFFCA18CA,長安段二小段,4.48,都市：商,80000,777,持分移轉,7070000
RPPSMLLLOHOFFCA18CA,長安段二小段,8.82,都市：商,80000,777,持分移轉,7080000
RPVRMLOKOHOFFCA88CA,正義段二小段,13.65,都市：商,10000,730,持分移轉,280000
RPVRMLOKOHOFFCA88CA,正義段二小段,1.24,都市：商,10000,730,持分移轉,280001
RPVRMLOKOHOFFCA88CA,正義段二小段,0.07,都市：其他:道路用地,10000,730,持分移轉,280002
RPVPMLRLOHOFFDA56CA,玉成段三小段,12.76,都市：商,100000,900,持分移轉,4350000
RPWPMLRLOHOFFDA66CA,玉成段三小段,13.47,都市：商,100000,950,持分移轉,4350000
RPRNMLLKOHOFFCA77CA,康寧段三小段,12.66,都市：其他:交通用地,100000,155,持分移轉,1990000
RPSOMLLKOHOFFCA97CA,金泰段,14.44,都市：商,10000,195,持分移轉,850010
RPQOMLLKOHOFFCA77CA,潭美段四小段,16.95,都市：住,100000,2090,持分移轉,5450000
RPRPMLLKOHOFFCA97CA,吉林段四小段,8.98,都市：住,100000,3471,持分移轉,2020000
RPRPMLLKOHOFFCA97CA,吉林段四小段,33.75,都市：商,100000,3471,持分移轉,2030000
RPVOMLRLOHOFFCA98CA,石潭段四小段,9.26,都市：商,100000,330,持分移轉,4230000
RPTQMLMKOHOFFCA38CA,中山段三小段,4.62,都市：商,10000,129,持分移轉,7590000
RPUOMLLKOHOFFBA08CA,福星段二小段,14.68,都市：商,90000,1081,持分移轉,4720000
RPUNMLLKOHOFFBA97CA,大龍段二小段,23.75,都市：商,4,1,持分移轉,6540000
RPUNMLLKOHOFFBA97CA,大龍段二小段,1.58,都市：商,12,1,持分移轉,6440000
RPROMLLKOHOFFBA77CA,福星段三小段,15.06,都市：商,410000,4038,持分移轉,950000
RPWRMLLLOHOFFCA78CA,長安段二小段,6.33,都市：住,80000,879,持分移轉,7050000
RPWRMLLLOHOFFCA78CA,長安段二小段,2.08,都市：住,80000,879,持分移轉,7060000
RPWRMLLLOHOFFCA78CA,長安段二小段,5.07,都市：商,80000,879,持分移轉,7070000
RPWRMLLLOHOFFCA78CA,長安段二小段,9.97,都市：商,80000,879,持分移轉,7080000
RPVOMLLKOHOFFBA18CA,成功段一小段,46.25,都市：商,8,1,持分移轉,2420000
RPRNMLLKOHOFFBA67CA,圓環段三小段,14.2,都市：商,10000,387,持分移轉,7970000
RPXPMLLKOHOFFBA48CA,福星段四小段,6.1,都市：商,10000,54,持分移轉,4600000
RPQNMLMKOHOFFBA67CA,市府段一小段,0.31,都市：商,10000,3,持分移轉,1570000
RPPOMLLKOHOFFAA47CA,興泰段三小段,27.92,都市：住,10000,68,持分移轉,3610000
RPSQMLLLOHOFFCA28CA,長安段二小段,5.34,都市：住,80000,741,持分移轉,7050000
RPSQMLLLOHOFFCA28CA,長安段二小段,1.75,都市：住,80000,741,持分移轉,7060000
RPSQMLLLOHOFFCA28CA,長安段二小段,4.27,都市：商,80000,741,持分移轉,7070000
RPSQMLLLOHOFFCA28CA,長安段二小段,8.41,都市：商,80000,741,持分移轉,7080000
RPSNMLQKOHOFFCA38CA,吉林段四小段,9.6,都市：商,1000000,5705,持分移轉,6420000
RPWOMLLKOHOFFAA18CA,景美段二小段,2.35,都市：住,321636,21600,持分移轉,550000
RPWOMLLKOHOFFAA18CA,景美段二小段,26.53,都市：住,321636,21600,持分移轉,560000
RPUOMLMKOHOFFAA08CA,實踐段一小段,42.14,都市：住,28000,6800,持分移轉,6350000
RPUOMLMKOHOFFAA08CA,實踐段一小段,0.12,都市：其他:道路用地(公共設施用地)【65/4/27】,28000,6800,持分移轉,6350001
RPXOMLNKOHOFFAA48CA,萬隆段二小段,15.54,都市：商,6000,157,持分移轉,190000
RPXOMLNKOHOFFAA48CA,萬隆段二小段,4.37,都市：商,6000,157,持分移轉,190001
RPOPMLOKOHOFFAA77CA,河堤段三小段,7.78,都市：住,10000,519,持分移轉,4940000
RPOPMLOKOHOFFAA77CA,河堤段三小段,9.03,都市：住,10000,519,持分移轉,4950000
RPWNMLTKOHOFFAA88CA,永昌段三小段,20.85,都市：住,10000,594,持分移轉,4560000
RPPOMLSKOHOFFAA18CA,興隆段二小段,34,都市：商,4,1,持分移轉,1050000
RPWNMLPLOHOFFAA58CA,實踐段一小段,16.96,都市：住,100000,7470,持分移轉,1800000
RPTNMLMKOHOFFAA87CA,木柵段一小段,11,都市：住,5,1,持分移轉,6590000
RPSNMLMKOHOFFAA77CA,南海段二小段,14.25,都市：住,100000,1057,持分移轉,4290000
RPSNMLMKOHOFFAA77CA,南海段二小段,15.65,都市：商,100000,1057,持分移轉,4300000
RPXOMLOKOHOFFAA58CA,萬芳段二小段,156.75,都市：住,10000,46,持分移轉,6000000
RPOOMLNKOHOFFAA57CA,木柵段三小段,30,都市：住,1056,30,持分移轉,7780000
RPSOMLNKOHOFFAA97CA,南海段三小段,34,都市：住,10000,1193,持分移轉,2280000
RPUOMLNKOHOFFAA18CA,河堤段四小段,3,都市：商,10000,46,持分移轉,440000
RPPQMLKLOHOFFBA77CA,青年段一小段,47.5,都市：住,100000,373,持分移轉,860000
RPUPMLQLOHOFFBA78CA,延平段二小段,0.07,都市：其他:特定專用區供河濱住宅使用,15,1,持分移轉,1980000
RPUPMLQLOHOFFBA78CA,延平段二小段,1,都市：其他:特定專用區供河濱住宅使用,15,1,持分移轉,1990000
RPRSMLLLOHOFFCA38CA,長安段二小段,5.56,都市：住,80000,772,持分移轉,7050000
RPRPMLLKOHOFFBA87CA,直興段一小段,9.33,都市：商,10000,105,持分移轉,2680000
RPRSMLLLOHOFFCA38CA,長安段二小段,1.82,都市：住,80000,772,持分移轉,7060000
RPRSMLLLOHOFFCA38CA,長安段二小段,4.45,都市：商,80000,772,持分移轉,7070000
RPRSMLLLOHOFFCA38CA,長安段二小段,8.76,都市：商,80000,772,持分移轉,7080000
RPSSMLLLOHOFFCA48CA,長安段二小段,5.56,都市：住,80000,772,持分移轉,7050000
RPSSMLLLOHOFFCA48CA,長安段二小段,1.82,都市：住,80000,772,持分移轉,7060000
RPSSMLLLOHOFFCA48CA,長安段二小段,4.45,都市：商,80000,772,持分移轉,7070000
RPSSMLLLOHOFFCA48CA,長安段二小段,8.76,都市：商,80000,772,持分移轉,7080000
RPTNMLQLOHOFFAA38CA,福和段一小段,14.21,都市：住,100000,927,持分移轉,3690000
RPTNMLQLOHOFFAA38CA,福和段一小段,2.95,都市：住,100000,927,持分移轉,3690003
RPTNMLQLOHOFFAA38CA,福和段二小段,0.06,都市：住,100000,927,持分移轉,1030001
RPTPMLMKOHOFFBA18CA,龍山段一小段,14.29,都市：商,100000,1162,持分移轉,3200000
RPOPMLMKOHOFFBA67CA,漢中段三小段,16,都市：商,6,1,持分移轉,3710000
RPOOMLMKOHOFFCA67CA,康寧段三小段,44.48,都市：住,10000,78,持分移轉,5490000
RPOPMLNKOHOFFBA77CA,漢中段一小段,7.6,都市：商,10000,105,持分移轉,200000
RPSQMLLKOHOFFCA18CA,吉林段三小段,6.38,都市：商,10000,60,持分移轉,3030000
RPWNMLMKOHOFFCA38CA,石潭段三小段,25.03,都市：住,10000000,50600,持分移轉,6580000
RPSNMLPKPHOFFAA18CA,政大段二小段,39.51,都市：住,10000,169,持分移轉,5920000
RPWNMLRKPHOFFBA88CA,玉泉段二小段,3.5,都市：商,10000,21,持分移轉,760000
RPWNMLRKPHOFFBA88CA,玉泉段二小段,0.01,都市：其他:道路用地,10000,21,持分移轉,760002
RPWNMLRKPHOFFBA88CA,玉泉段二小段,0.01,都市：其他:道路用地,10000,21,持分移轉,760003
RPXPMLMKOHOFFCA68CA,東湖段七小段,54.34,都市：住,1000,76,持分移轉,3870000
RPSRMLNKOHOFFCA48CA,中山段四小段,3.05,都市：其他:道路用地,4832,9,持分移轉,2130001
RPSRMLNKOHOFFCA48CA,長安段三小段,0.03,都市：其他:道路用地,3526560,450,持分移轉,3950003
RPQNMLOLOHOFFCA08CA,德惠段三小段,2.44,都市：住,10000,23,持分移轉,5230000
RPQNMLOLOHOFFCA08CA,德惠段三小段,4.12,都市：住,10000,23,持分移轉,5230001
RPPOMLLLOHOFFCA77CA,德惠段三小段,30.67,都市：住,3,1,持分移轉,860000
RPPOMLLLOHOFFCA77CA,德惠段三小段,9.33,都市：住,3,1,持分移轉,860001
RPOOMLSKPHOFFAA18CA,福和段一小段,11.5,都市：住,10000,500,持分移轉,1360000
RPXOMLLLOHOFFCA58CA,碧湖段三小段,99.95,都市：住,10000,236,持分移轉,1660000
RPTNMLOJPHOFFAA08CA,實踐段一小段,21.72,都市：住,100000,9570,持分移轉,1800000
RPPOMLSKOHOFFCA38CA,碧湖段二小段,36.99,都市：住,100000,840,持分移轉,5080000
RPPOMLSKOHOFFCA38CA,碧湖段二小段,2.64,都市：住,100000,60,持分移轉,5080000
RPRQMLKLOHOFFBA97CA,福星段二小段,25.03,都市：其他:道路用地,395,24,持分移轉,3870000
RPTQMLLKOHOFFCA28CA,吉林段三小段,6.6,都市：商,10000,62,持分移轉,3030000
RPPNMLMKOHOFFCA67CA,石潭段四小段,11.66,都市：商,1000000,2678,持分移轉,3230000
RPRNMLOLOHOFFDA28CA,雅祥段三小段,19,都市：住,5,1,持分移轉,3760000
RPWNMLPLOHOFFCA78CA,金泰段,124.21,都市：住,100000,3893,持分移轉,1220004
RPVOMLNKOHOFFCA48CA,文德段四小段,8.25,都市：商,100000,821,持分移轉,220000
RPOSMLRKPHOFFCA68CA,文德段二小段,20.2,都市：住,32683,313,持分移轉,3130000
RPVOMLPJPHOFFCA68CA,長安段三小段,5.16,都市：住,10000,14,持分移轉,810000
RPWOMLSKOHOFFDA56CA,吳興段一小段,26.42,都市：住,10000,654,持分移轉,5070000
RPPQMLMKOHOFFDA08CA,南港段一小段,233,都市：住,1,1,全筆移轉,1010000
RPSNMLRKOHOFFDA58CA,南港段四小段,2.4,都市：住,10000,10,持分移轉,1200010
RPQRMLRKPHOFFCA78CA,東湖段三小段,22.12,都市：住,10000,573,持分移轉,70004
RPQRMLRKPHOFFCA78CA,東湖段三小段,18.97,都市：住,10000,573,持分移轉,70005
RPQRMLRKPHOFFCA78CA,東湖段三小段,14.04,都市：住,10000,573,持分移轉,70006
RPTOMLMKOHOFFDA28CA,西松段二小段,2.57,都市：商,10000,76,持分移轉,5600000
RPTOMLMKOHOFFDA28CA,西松段二小段,1.42,都市：其他:第二種商業區及第三種住宅區。,10000,76,持分移轉,5630000
RPPNMLOKOHOFFDA97CA,雅祥段四小段,16.75,都市：住,8,1,持分移轉,4540000
RPQOMLOKOHOFFDA18CA,永吉段三小段,28.6,都市：住,5,1,持分移轉,7740000
RPPPMLNKOHOFFDA08CA,永春段一小段,21.41,都市：住,100,1,持分移轉,200000
RPOPMLNKOHOFFDA97CA,?和段三小段,6.17,都市：商,100000,410,持分移轉,70000
RPOPMLNKOHOFFDA97CA,?和段三小段,2.93,都市：商,100000,410,持分移轉,70001
RPWNMLNKOHOFFDA58CA,經貿段,42.69,都市：住,10000,68,持分移轉,240000
RPPPMLOKOHOFFEA28CA,天山段二小段,25.27,都市：商,40000,1752,持分移轉,5230000
RPTNMLMKOHOFFEA28CA,文林段五小段,29.25,都市：住,4,1,持分移轉,3780000
RPUNMLMKOHOFFEA38CA,陽明段三小段,21,都市：住,3,1,持分移轉,1840000
RPUNMLMKOHOFFEA38CA,陽明段三小段,1,都市：其他:道路用地,3,1,持分移轉,1840001
RPVNMLMKOHOFFEA48CA,行義段二小段,31.02,都市：住,10000,42,持分移轉,3000000
RPUOMLOKOHOFFEA68CA,立農段二小段,44.91,都市：住,300000,40406,持分移轉,1330000
RPWNMLMKOHOFFEA58CA,立農段三小段,18.5,都市：住,6,1,持分移轉,5650000
RPSOMLMKOHOFFEA28CA,溫泉段三小段,52.02,都市：住,1000,56,持分移轉,720000
RPPOMLMKOHOFFEA97CA,三玉段三小段,30.6,都市：住,10,1,持分移轉,1790000
RPVNMLTJPHOFFBA88CA,延平段一小段,18.84,都市：商,10000,234,持分移轉,3730000
RPROMLMKOHOFFEA18CA,豐年段四小段,17.21,都市：其他:交通用地(公共設施用地)【78/1/26】,100000,280,持分移轉,5720000
RPPOMLRKOHOFFDA38CA,玉成段三小段,0.01,都市：其他:策略型工業區,18000,2,持分移轉,5020000
RPPOMLRKOHOFFDA38CA,玉成段三小段,0,都市：其他:道路用地(公共設施用地),18000,2,持分移轉,5020001
RPPOMLRKOHOFFDA38CA,玉成段三小段,0.45,都市：其他:策略型工業區但是否在道路用地應依建築線或地籍測量分割後再確定,10000,1,持分移轉,5030000
RPPOMLRKOHOFFDA38CA,玉成段三小段,0,都市：其他:道路用地(公共設施用地),10000,1,持分移轉,5030001
RPTOMLLKOHOFFEA28CA,文林段三小段,13.79,都市：住,10000,867,持分移轉,2210000
RPRNMLNLOHOFFEA28CA,立農段三小段,19.25,都市：住,4,1,持分移轉,1440000
RPOOMLOLOHOFFEA18CA,福順段一小段,32.75,都市：住,4,1,持分移轉,2910000
RPSNMLNKOHOFFFA38CA,仁愛段一小段,0.14,都市：住,100000,10,持分移轉,1680000
RPTNMLRKOHOFFFA88CA,瑞安段二小段,8.65,都市：商,110000,494,持分移轉,60000
RPSOMLLKOHOFFFA28CA,辛亥段六小段,37.09,都市：住,10000,633,持分移轉,340003
RPPNMLMKOHOFFAA57DA,實踐段一小段,9.22,都市：商,10000,126,持分移轉,6780000
SPPOMLRKOHOFFDA48CA,玉成段三小段,0.01,都市：其他:策略型工業區,18000,2,持分移轉,5020000
SPPOMLRKOHOFFDA48CA,玉成段三小段,0,都市：其他:道路用地(公共設施用地),18000,2,持分移轉,5020001
SPPOMLRKOHOFFDA48CA,玉成段三小段,0.45,都市：其他:策略型工業區但是否在道路用地應依建築線或地籍測量分割後再確定,10000,1,持分移轉,5030000
SPPOMLRKOHOFFDA48CA,玉成段三小段,0,都市：其他:道路用地(公共設施用地),10000,1,持分移轉,5030001
TPPOMLRKOHOFFDA58CA,玉成段三小段,0.01,都市：其他:策略型工業區,18000,2,持分移轉,5020000
TPPOMLRKOHOFFDA58CA,玉成段三小段,0,都市：其他:道路用地(公共設施用地),18000,2,持分移轉,5020001
