,編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
228,RPXOMLSKPHOFFBC76CA,培德段,14.53,都市：住,100000,51,持分移轉,4270000
229,RPOPMLSKPHOFFBC58CA,培德段,24.5,都市：住,100000,86,持分移轉,4270000
230,RPSOMLRKPHOFFCC88CA,工建段,15.6,都市：住,30,4,持分移轉,4310000
231,RPSOMLRKPHOFFCC88CA,工建段,0.09,都市：住,45,4,持分移轉,4410003
232,RPSNMLRKPHOFFBC68CA,港濱段,24.83,都市：住,10000,297,持分移轉,13460000
233,RPSNMLRKPHOFFBC68CA,港濱段,0.39,都市：其他:道路用地,10000,297,持分移轉,13460001
234,RPSNMLRKPHOFFBC68CA,港濱段,1.6,都市：其他:道路用地,10000,297,持分移轉,13460002
235,RPSNMLRKPHOFFBC68CA,港濱段,0.71,都市：其他:道路用地,10000,297,持分移轉,13470001
236,RPSNMLRKPHOFFBC68CA,港濱段,0.06,都市：其他:第三類港埠用地,10000,297,持分移轉,17500001
237,RPPOMLQKPHOFFCC48CA,八德段,72.0,都市：商,1,1,全筆移轉,7760004
238,RPSNMLPKPHOFFCC58CA,大武崙段內寮小段,151.49,都市：住,10000,2686,持分移轉,5940000
239,RPPOMLMLPHOFFCC18CA,西定段,19.5,都市：住,4,1,持分移轉,9480000
240,RPSNMLQJQHOFFBC68DA,成功段,0.29,都市：商,100000,32,持分移轉,10940000
241,RPSNMLQJQHOFFBC68DA,成功段,0.0,都市：其他:部份道路用地部分商業區,100000,32,持分移轉,10940012
242,RPSNMLQJQHOFFBC68DA,成功段,0.0,都市：其他:道路用地,100000,32,持分移轉,10940029
243,RPSNMLQJQHOFFBC68DA,成功段,0.5,都市：住,100000,32,持分移轉,10940031
244,RPSNMLQJQHOFFBC68DA,成功段,0.58,都市：住,100000,32,持分移轉,11780000
245,RPSNMLQJQHOFFBC68DA,成功段,6.82,都市：住,100000,32,持分移轉,11790000
246,RPSNMLQJQHOFFBC68DA,成功段,0.01,都市：其他:道路用地,100000,32,持分移轉,11790008
247,RPSNMLQJQHOFFBC68DA,成功段,0.62,都市：住,100000,32,持分移轉,19640000
248,RPPNMLTKPHOFFCC68CA,暖暖段東勢坑小段,10.2,都市：住,178000,1020,持分移轉,8670000
249,RPRNMLTKPHOFFCC88CA,八德段,8.13,都市：住,1800,40,持分移轉,4910000
250,RPRNMLTKPHOFFCC88CA,八德段,12.2,都市：住,1800,40,持分移轉,4950000
251,RPRNMLTKPHOFFCC88CA,八德段,10.73,都市：住,1800,40,持分移轉,4960000
252,RPPOMLOLPHOFFCC38CA,工建段,10.3,都市：其他:部份住宅區(住三)部份道路用地,10,1,持分移轉,2590000
253,RPPOMLOLPHOFFCC38CA,工建段,14.1,都市：其他:部份住宅區(住三)部份道路用地,10,1,持分移轉,2600000
254,RPPOMLOLPHOFFCC38CA,工建段,1.3,都市：其他:部份住宅區(住三)部份道路用地,10,1,持分移轉,2610000
255,RPPOMLOKQHOFFBC28CA,調和段,40.24,都市：住,10000,53,持分移轉,11250000
256,RPPNMLNLPHOFFBC08CA,德厚段,71.0,都市：住,1,1,全筆移轉,7210000
257,RPSOMLPLPHOFFCC78CA,安國段,43.5,都市：其他:住宅區，道路用地,10,1,持分移轉,10032
258,RPRPMLOKQHOFFBC58CA,調和段,44.04,都市：住,10000,58,持分移轉,11250000
259,RPRNMLOJQHOFFCC38CA,代天府段,28.1,都市：其他:部分住宅區部分道路用地,100000,69,持分移轉,8370000
260,RPRNMLOJQHOFFCC38CA,代天府段,0.17,都市：其他:道路用地,100000,69,持分移轉,8370001
261,RPRNMLOJQHOFFCC38CA,代天府段,0.22,都市：住,100000,69,持分移轉,8370002
262,RPRNMLOJQHOFFCC38CA,代天府段,0.05,都市：其他:保護區,100000,69,持分移轉,8370003
263,RPRNMLOJQHOFFCC38CA,代天府段,0.0,都市：住,100000,69,持分移轉,8370004
264,RPRNMLOJQHOFFCC38CA,代天府段,0.11,都市：住,100000,69,持分移轉,8370005
265,RPRNMLOJQHOFFCC38CA,代天府段,0.07,都市：其他:道路用地,100000,69,持分移轉,8370006
266,RPRNMLMKQHOFFBC18CA,培德段,24.21,都市：住,100000,85,持分移轉,4270000
267,RPSNMLMKQHOFFBC28CA,培德段,26.78,都市：住,100000,94,持分移轉,4270000
268,RPSOMLMLQHOFFBC48CA,港濱段,24.05,都市：住,10000,500,持分移轉,2100000
269,RPSOMLMLQHOFFBC48CA,港濱段,13.95,都市：住,10000,500,持分移轉,2780003
270,RPSOMLTLPHOFFCC56CA,工建段,33.3,都市：住,10000,330,持分移轉,5220000
271,RPSOMLTLPHOFFCC56CA,工建段,0.1,都市：其他:鐵路用地,10000,330,持分移轉,5220001
272,RPPNMLOKQHOFFBC18CA,忠義段五小段,2.83,都市：商,12,1,持分移轉,30003
273,RPPNMLOKQHOFFBC18CA,忠義段五小段,9.42,都市：商,12,1,持分移轉,20008
274,RPWNMLSJQHOFFBC66DA,新店段一小段,24.02,都市：商,1000,78,持分移轉,420000
275,RPUOMLKMPHOFFCC58CA,武嶺段,54.13,都市：住,100000,1191,持分移轉,9530000
276,RPTNMLMKQHOFFBC38CA,培德段,19.09,都市：住,100000,67,持分移轉,4270000
277,RPUNMLMKQHOFFBC48CA,培德段,14.24,都市：住,100000,50,持分移轉,4270000
278,RPVNMLMKQHOFFBC58CA,培德段,14.24,都市：住,100000,50,持分移轉,4270000
279,RPWNMLMKQHOFFBC68CA,培德段,14.53,都市：住,100000,51,持分移轉,4270000
280,RPXNMLMKQHOFFBC78CA,培德段,14.24,都市：住,100000,50,持分移轉,4270000
281,RPOOMLMKQHOFFBC97CA,培德段,13.96,都市：住,100000,49,持分移轉,4270000
282,RPPOMLMKQHOFFBC08CA,培德段,14.24,都市：住,100000,50,持分移轉,4270000
283,RPQOMLMKQHOFFBC18CA,培德段,26.78,都市：住,100000,94,持分移轉,4270000
284,RPROMLMKQHOFFBC28CA,培德段,14.53,都市：住,100000,51,持分移轉,4270000
285,RPTOMLMKQHOFFBC48CA,培德段,26.78,都市：住,100000,94,持分移轉,4270000
286,RPPNMLMJQHOFFBC87CA,新店段四小段,20.68,都市：商,60000,1194,持分移轉,3050000
287,RPTNMLPJQHOFFCC68CA,大武崙段內寮小段,26.0,都市：住,3494,26,持分移轉,6290000
288,RPUNMLSJQHOFFCC09CA,暖暖段暖暖小段,25.84,都市：住,10000,400,持分移轉,3200000
289,RPVNMLLJQHOFFBC38CA,中正段三小段,44.09,都市：住,10000,100,持分移轉,240000
290,RPOOMLTKQHOFFCC78CA,武嶺段,80.47,都市：住,10000,168,持分移轉,5220002
291,RPUNMLLJQHOFFCC38CA,代天府段,7.68,都市：住,120,1,持分移轉,6830000
292,RPUNMLLJQHOFFCC38CA,代天府段,1.83,都市：住,120,1,持分移轉,6880000
293,RPUNMLLJQHOFFCC38CA,代天府段,6.19,都市：住,120,1,持分移轉,6910000
294,RPUNMLLJQHOFFCC38CA,代天府段,1.87,都市：住,120,1,持分移轉,6930000
295,RPUNMLLJQHOFFCC38CA,代天府段,135.14,都市：住,8,1,持分移轉,6950000
296,RPUNMLLJQHOFFCC38CA,代天府段,6.09,都市：住,120,1,持分移轉,6970000
297,RPUNMLLJQHOFFCC38CA,代天府段,2.93,都市：住,120,1,持分移轉,7000000
298,RPUNMLLJQHOFFCC38CA,代天府段,5.04,都市：住,120,1,持分移轉,7040000
