,鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
117,中正區,房地(土地+建物),基隆市中正區武昌街104巷53之1號,21.12,住,nan,nan,1080604,土地1建物1車位0,二層,四層,套房(1房1廳1衛),住家用,鋼筋混凝土造,710918.0,64.18,1,1,1,有,無,1700000,26488.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPRNMLOJPHOFFBC28DA,52.6,0.0,11.58,nan,nan
118,安樂區,房地(土地+建物),基隆市安樂區中和路168巷10弄10號,30.06,住,nan,nan,1080527,土地2建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,840117.0,116.6,3,1,2,有,無,907554,7783.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPQNMLLKPHOFFCC08DA,0.0,0.0,0.0,nan,nan
119,安樂區,土地,西定段577-2地號,38.0,住,nan,nan,1080606,土地3建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,2000000,52632.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；含增建或未登記建物。；無訂私契,RPXNMLKKPHOFFCC58CA,0.0,0.0,0.0,nan,nan
120,安樂區,房地(土地+建物),基隆市安樂區基金一路２０８巷１７４弄９號４樓,25.34,住,nan,nan,1080311,土地2建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,831015.0,92.43,3,1,1,有,有,1600000,17310.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPQOMLLKPHOFFCC08CA,73.43,0.0,8.78,nan,nan
121,中正區,房地(土地+建物),基隆市中正區新豐街３０３巷１９弄２０號２樓,28.67,住,nan,nan,1080513,土地4建物2車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,851119.0,95.12,3,2,1,有,無,3000000,31539.0,nan,0.0,0,包含公共設施保留地之交易。；,RPWNMLOJPHOFFBC68CA,66.36,0.04,5.98,nan,nan
122,七堵區,房地(土地+建物)+車位,基隆市七堵區大華一路１２９之９號７樓,46.03,住,nan,nan,1080611,土地1建物1車位1,七層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1010613.0,168.12,3,2,2,有,有,9340000,58176.0,坡道平面,26.48,1100000,土地及建物分次登記案件。前案土地登記收件字號：；,RPPNMLKKPHOFFCC77CA,91.04,4.76,9.75,nan,nan
123,中山區,房地(土地+建物),基隆市中山區復興路259巷42之3號,46.67,住,nan,nan,1080617,土地7建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,840512.0,139.5,4,2,2,有,無,3100000,22222.0,nan,0.0,0,瑕疵物件之交易。,RPVNMLPJPHOFFCC78CA,78.92,38.33,6.0,nan,nan
124,安樂區,房地(土地+建物),基隆市安樂區樂利三街２６３巷４２之３號,26.48,住,nan,nan,1080602,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,720913.0,92.86,3,1,1,有,無,2200000,23692.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；含增建或未登記建物。；,RPPNMLPJPHOFFCC18CA,81.97,0.0,10.89,nan,nan
125,安樂區,房地(土地+建物),基隆市安樂區基金一路２０８巷１４０號２樓,26.76,住,nan,nan,1080311,土地2建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,840811.0,96.62,3,1,2,有,有,3000000,31049.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPPNMLSJPHOFFCC68EA,77.95,1.95,4.8,nan,nan
126,安樂區,房地(土地+建物),基隆市安樂區中和路１６８巷１1弄17號5樓,26.99,住,nan,nan,1080522,土地3建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,840117.0,101.68,3,2,2,有,無,2450000,24095.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；自立私契.,RPSNMLLKPHOFFCC18CA,77.97,1.1,7.95,nan,nan
127,中正區,房地(土地+建物)+車位,基隆市中正區新豐街１６２巷１３號六樓之一,32.0,住,nan,nan,1080616,土地8建物1車位1,六層，見其他登記事項,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,980209.0,125.07,3,2,2,有,有,6570000,52531.0,坡道平面,24.1,0,nan,RPRNMLKKPHOFFBC87CA,69.35,2.14,3.07,nan,nan
128,信義區,房地(土地+建物),基隆市信義區花源一街３３號,35.19,住,nan,nan,1080619,土地2建物1車位0,一層，地下一層,五層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,781229.0,120.99,3,2,2,有,無,4650000,38433.0,nan,0.0,0,nan,RPROMLRKPHOFFBC68CA,94.84,11.03,0.0,nan,nan
