,編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
0,RPQPMLMKOHOFFDQ07CA,坡道平面,550000,5.02,nan
1,RPWNMLOKOHOFFDQ67CA,坡道平面,500000,5.02,nan
2,RPSNMLKKQHOFFCQ96CA,坡道平面,0,nan,nan
