,編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
0,RPTNMLLLNHOFFDM66CA,其他,0,nan,nan
1,RPXNMLLKOHOFFBM86CA,坡道平面,800000,33.4,nan
2,RPRNMLTLNHOFFAM96CA,其他,0,nan,nan
3,RPVNMLKLOHOFFBM66CA,坡道平面,0,nan,nan
4,RPUOMLQLOHOFFBM27CA,坡道平面,800000,33.4,nan
